,openTime,type,size,openPrice,S/L,T/P,closeTime,closePrice,swap,profit,balance,days,drawDown,drawDownRate,drawDownPeriod
0,,,,,,,,,,,300000.0,,,,
1,1998-12-08 00:00:00,sell,1.0,294.8,297.7,290.74000000000007,1998-12-11 00:00:00,290.74000000000007,32.635,343.36499999999455,300343.365,3.0,-343.3649999999907,-0.001144549999999969,0.0
2,1998-11-13 00:00:00,buy,1.0,296.45,289.2,306.59999999999997,1999-01-05 00:00:00,289.2,-616.59,-138.40999999999997,300204.955,53.0,138.4099999999744,0.000460839213145176,25.0
3,1999-03-10 00:00:00,buy,1.0,291.0,283.15,301.99,1999-03-16 00:00:00,283.15,-72.53999999999999,-742.4600000000023,299462.495,6.0,880.8699999999953,0.0029328765095243416,95.0
4,1999-05-05 00:00:00,buy,1.0,285.35,278.25,295.2900000000001,1999-05-11 00:00:00,278.25,-72.53999999999999,-667.4600000000023,298795.035,6.0,1548.3300000000163,0.005155199616279242,151.0
5,1998-09-16 00:00:00,buy,1.0,289.05,274.6,309.28,1999-05-18 00:00:00,274.6,-2949.96,1474.9600000000012,300269.995,244.0,73.36999999999534,0.00024428706790308267,158.0
6,1998-11-05 00:00:00,sell,1.0,290.35,301.85,274.25,1999-05-18 00:00:00,274.25,1253.184,326.8160000000023,300596.811,194.0,-253.44599999999627,-0.0008438541667134757,0.0
7,1999-03-18 00:00:00,sell,1.0,283.75,294.15,269.19000000000005,1999-05-26 00:00:00,269.19000000000005,437.309,988.6909999999946,301585.502,69.0,-988.6909999999916,-0.0032890934428442477,0.0
8,1999-05-12 00:00:00,sell,1.0,278.2,289.8,261.96,1999-06-08 00:00:00,261.96,176.229,1417.7710000000009,303003.273,27.0,-1417.771000000008,-0.004701058209356523,0.0
9,1999-08-19 00:00:00,buy,1.0,259.25,252.2,269.12,1999-08-25 00:00:00,252.2,-48.36,-686.6400000000011,302316.633,6.0,686.640000000014,0.002266114135341416,78.0
10,1999-08-25 00:00:00,sell,1.0,253.0,261.4,241.24000000000004,1999-09-22 00:00:00,261.4,182.756,-1052.7559999999978,301263.877,28.0,1739.396000000008,0.005740518849114901,106.0
11,1999-09-22 00:00:00,buy,1.0,260.35,252.25,271.69000000000005,1999-09-24 00:00:00,271.69000000000005,-48.36,1152.360000000003,302416.23699999996,2.0,587.0360000000219,0.001937391613588352,108.0
12,1999-12-02 00:00:00,sell,1.0,289.15,306.0,265.55999999999995,2000-02-04 00:00:00,306.0,417.728,-2132.7280000000023,300283.50899999996,64.0,2719.7640000000247,0.008976021853070957,241.0
13,2000-02-08 00:00:00,buy,1.0,302.0,277.4,336.44000000000005,2000-03-29 00:00:00,277.4,-604.5,-1885.5000000000023,298398.00899999996,50.0,4605.264000000025,0.015198726912761846,295.0
14,2000-06-08 00:00:00,buy,1.0,286.9,269.8,310.8399999999999,2000-09-20 00:00:00,269.8,-1233.18,-506.8199999999965,297891.18899999995,104.0,5112.084000000032,0.01687138211210026,470.0
15,2000-07-18 00:00:00,sell,1.0,283.3,293.0,269.72,2000-09-20 00:00:00,269.72,417.728,910.2719999999983,298801.46099999995,64.0,4201.8120000000345,0.013867216543235276,470.0
16,2000-12-06 00:00:00,buy,1.0,270.3,264.0,279.12,2001-01-11 00:00:00,264.0,-459.42,-200.58000000000112,298600.88099999994,36.0,4402.392000000051,0.014529189590635382,583.0
