R,年收益,最大衰落金额,MAR,期望,最大衰落期,胜率,盈利月占比,盈利单均盈利,亏损单均亏损,月均交易,多单数,多单胜率,空单数,空单胜率,获利因子,平均同时开仓数,25%同时开仓数,50%同时开仓数,75%同时开仓数,最大同时开仓数,平均持仓天数,25%持仓天数,50%持仓天数,75%持仓天数,最大持仓天数,平均衰落金额,25%衰落金额,50%衰落金额,75%衰落金额,最大衰落金额(副本),平均衰落率,25%衰落率,50%衰落率,75%衰落率,最大衰落率,平均衰落期,25%衰落期,50%衰落期,75%衰落期,最大衰落期(副本),平均每单获利,25%每单获利,50%每单获利,75%每单获利,最小每单获利,最大每单获利
0.1,1082.287179,10642.917,0.101690841,124.9702697,1505,0.915730337,0.871559633,410.6309693,-2979.209333,0.711810184,89,0.921348315,89,0.91011236,-1.497776547,0.140449438,0,0,0,2,3.08988764,0,0,3,61,1881.020118,-138.4,1395.3635,2994.75175,10642.917,0.006120971,-0.000456064,0.004632451,0.009710681,0.034639581,386.7022472,0,204.5,711.75,1505,124.9702697,132.73325,317.05,513.3575,-6995.37,2462.5
0.2,1495.695339,11707.158,0.127759046,172.9822191,1774,0.853932584,0.766990291,838.2224342,-3716.114423,0.71067341,89,0.887640449,89,0.820224719,-1.318683105,0.247191011,0,0,0,2,6.685393258,0,2,7,64,2742.031669,326.2895,2005.7055,4782.92475,11707.158,0.008452729,0.001051272,0.006334249,0.015095918,0.035090361,458.9213483,28.25,325,715.5,1774,172.9822191,191.6285,560.2715,1031.25,-7921.65,4955
0.3,2357.489339,14959.39,0.157592612,272.6516067,1896,0.808988764,0.702970297,1275.197229,-3973.423971,0.71067341,89,0.842696629,89,0.775280899,-1.359239629,0.348314607,0,0,1,2,10.50561798,1,5,14.75,104,2911.906157,-157.5115,2279.9225,5197.86275,14959.39,0.008974019,-0.00048771,0.006896791,0.016045408,0.047514822,351.3932584,0,130.5,480.5,1896,272.6516067,261.12125,809.323,1515.26175,-14959.39,7447.5
0.4,3697.78328,22692.851,0.16294926,427.6611292,1589,0.764044944,0.663157895,1727.890632,-3782.605833,0.71067341,89,0.797752809,89,0.730337079,-1.479158727,0.45505618,0,0,1,3,13.2752809,2,6.5,18,104,3839.554489,-172.5355,2733.189,5540.66975,22692.851,0.01084109,-0.000549571,0.00806011,0.01606275,0.060428975,360.8314607,0,194.5,551.75,1589,427.6611292,203.433,1045.9365,2019.5165,-14959.39,9940
0.5,1834.696885,23263.057,0.078867403,212.1888933,1982,0.679775281,0.623655914,2175.753198,-3956.079193,0.71067341,89,0.719101124,89,0.640449438,-1.167495374,0.634831461,0,0,1,4,19.42134831,4,10,25,170,5826.747416,1018.43375,4636.972,8344.284,23263.057,0.016915964,0.003033792,0.014536009,0.02400565,0.064443268,597.8595506,53.5,357,1104.25,1982,212.1888933,-1925.0605,989.18,2427.0225,-14959.39,11805.908
0.6,1012.129747,39786.282,0.025439164,117.0562247,2036,0.617977528,0.6,2618.568273,-3929.507382,0.71067341,89,0.651685393,89,0.584269663,-1.077977174,0.808988764,0,1,1,5,26.03370787,5,13.5,31.25,564,9451.078657,1325.3245,6544.435,13096.856,39786.282,0.027574141,0.00437507,0.020397022,0.041276804,0.110784794,550.7303371,79,275.5,948.25,2036,117.0562247,-2690.872,889.283,2836.85725,-14959.39,11230.718
0.7,-33.74787863,38296.173,-0.000881234,-3.90305618,3457,0.561797753,0.532608696,3114.75593,-4002.183808,0.71067341,89,0.595505618,89,0.528089888,-0.997774471,0.960674157,0,1,1.75,5,32.80337079,7,16,35,567,14017.12516,6562.465,13467.01,21227.765,38296.173,0.04411855,0.021070801,0.042434916,0.067369738,0.114169464,1116.353933,238.5,878.5,1679.5,3457,-3.90305618,-3180.36075,707.7495,3131.575,-14959.39,13716.691
0.8,1249.644972,30246.021,0.041316012,144.5256629,3769,0.54494382,0.488888889,3580.261361,-3969.873877,0.71067341,89,0.584269663,89,0.505617978,-1.080002442,1.039325843,0,1,2,5,35.6011236,7.25,18.5,39,567,11177.90949,4709.11,10117.87,18465.2805,30246.021,0.034872836,0.015195367,0.031373516,0.058787715,0.09945647,1233.988764,285.25,936.5,1952.75,3769,144.5256629,-3211.95675,778.2495,3532.91625,-14959.39,16209.191
0.9,2405.073165,40201.432,0.05982556,278.1548371,3086,0.539325843,0.459770115,3989.067219,-4066.327951,0.71067341,89,0.584269663,89,0.494382022,-1.148487661,1.106741573,0,1,2,5,38.8258427,8,20,44.5,567,10935.34102,3755.46775,9408.9505,18218.05325,40201.432,0.032924904,0.012095595,0.028363888,0.055384,0.12601025,886.7247191,109.25,617.5,1373.5,3086,278.1548371,-3343.92825,694.7845,3766.9185,-14959.39,18701.691
1,2694.441172,38907.572,0.06925236,311.6212247,3020,0.516853933,0.444444444,4425.304652,-4089.063372,0.71067341,89,0.561797753,89,0.471910112,-1.15773379,1.174157303,0,1,2,5,41.9494382,9.25,21,46.75,567,10733.72129,3603.9805,9038.48,18850.029,38907.572,0.03290203,0.010832459,0.0283681,0.055862651,0.12274497,789.247191,95.25,412,1195.5,3020,311.6212247,-3397.385,426.136,4006.149,-14959.39,21194.191
