,openTime,type,size,openPrice,S/L,T/P,closeTime,closePrice,swap,profit,balance,days,drawDown,drawDownRate,drawDownPeriod
0,,,,,,,,,,,300000.0,,,,
1,2008-10-15 01:00:00,sell,1.0,1.7414,1.7594,1.7306000000000001,2008-10-15 13:00:00,1.7594,0.0,-1830.0000000000016,298170.0,0.0,1830.0,0.0061,0.0
2,2008-10-15 13:00:00,buy,1.0,1.7516,1.7392,1.75904,2008-10-15 13:00:00,1.75904,-0.0,713.9999999999891,298884.0,0.0,1116.0,0.00372,0.0
3,2008-10-15 21:00:00,sell,1.0,1.7341,1.7565,1.72066,2008-10-16 00:00:00,1.72066,10.11,1303.8899999999896,300187.89,0.0,-187.89000000001397,-0.0006263000000000466,0.0
4,2008-10-20 02:00:00,buy,1.0,1.7304,1.7256,1.73328,2008-10-20 02:00:00,1.73328,-0.0,257.9999999999994,300445.89,0.0,-258.0,-0.0008594617191253118,0.0
5,2008-10-17 18:00:00,sell,1.0,1.7257,1.7352,1.72,2008-10-20 07:00:00,1.7352,3.37,-983.3700000000064,299462.52,2.0,983.3699999999953,0.003273035287651947,0.0
6,2008-10-17 21:00:00,buy,1.0,1.7335,1.7256,1.73824,2008-10-20 07:00:00,1.73824,-7.44,451.43999999999664,299913.96,2.0,531.929999999993,0.0017704685525902618,0.0
7,2008-10-20 01:00:00,sell,1.0,1.7306,1.7352,1.7278399999999998,2008-10-20 07:00:00,1.7352,0.0,-490.000000000016,299423.96,0.0,1021.929999999993,0.003401377865411948,0.0
8,2008-10-17 03:00:00,buy,1.0,1.7338,1.7192,1.7425599999999999,2008-10-20 09:00:00,1.7425599999999999,-7.44,853.439999999988,300277.4,3.0,168.4899999999907,0.0005607998165659403,0.0
9,2008-10-20 18:00:00,sell,1.0,1.7135,1.7498,1.6917200000000001,2008-10-21 18:00:00,1.6917200000000001,3.37,2144.629999999991,302422.03,1.0,-1976.140000000014,-0.006577357407019327,0.0
10,2008-10-28 15:00:00,buy,1.0,1.5737,1.5391,1.5944600000000002,2008-10-28 23:00:00,1.5944600000000002,-0.0,2046.0000000000114,304468.03,0.0,-2046.0,-0.006765380154349205,0.0
11,2008-10-31 05:00:00,sell,1.0,1.6308,1.6645,1.61058,2008-10-31 17:00:00,1.61058,0.0,1992.0000000000127,306460.03,0.0,-1992.0,-0.006542558836144471,0.0
