,openTime,type,size,openPrice,S/L,T/P,closeTime,closePrice,swap,profit,balance,days,drawDown,drawDownRate,drawDownPeriod
1786,2018-10-12 19:00:00,sell,1.0,1217.56,1222.79,1212.8529999999998,2018-10-15 09:15:00,1222.79,6.527,-559.5270000000019,245262.91400000075,2.0,57205.664999999164,0.18912928142529206,402.0
1787,2018-10-15 03:45:00,buy,1.0,1220.15,1217.15,1222.8500000000001,2018-10-15 10:00:00,1222.8500000000001,-0.0,240.00000000000455,245502.91400000075,0.0,56965.664999999164,0.18833581057687046,402.0
1788,2018-10-12 05:45:00,sell,1.0,1217.81,1225.09,1211.258,2018-10-15 11:00:00,1225.09,6.527,-764.5269999999973,244738.38700000074,3.0,57730.191999999166,0.19086343510741716,402.0
1789,2018-10-16 04:00:00,sell,1.0,1226.75,1227.56,1226.021,2018-10-16 04:00:00,1227.56,0.0,-110.99999999999454,244627.38700000074,0.0,57841.191999999166,0.19123041537481214,402.0
1790,2018-10-16 03:45:00,buy,1.0,1227.36,1225.36,1229.1599999999999,2018-10-16 09:15:00,1225.36,-0.0,-230.0,244397.38700000074,0.0,58071.191999999166,0.19199082493788283,402.0
1791,2018-10-16 04:15:00,buy,1.0,1227.57,1225.36,1229.559,2018-10-16 09:15:00,1225.36,-0.0,-251.00000000000364,244146.38700000074,0.0,58322.191999999166,0.1928206632001904,402.0
1792,2018-10-16 06:45:00,sell,1.0,1225.88,1228.26,1223.7380000000003,2018-10-16 11:15:00,1228.26,0.0,-267.9999999999882,243878.38700000074,0.0,58590.191999999166,0.1937067056475945,402.0
1793,2018-10-16 11:30:00,buy,1.0,1228.35,1225.28,1231.1129999999998,2018-10-16 16:15:00,1231.1129999999998,-0.0,246.299999999992,244124.68700000073,0.0,58343.89199999918,0.1928924061894019,402.0
1794,2018-10-16 20:00:00,sell,1.0,1228.27,1231.22,1225.615,2018-10-16 22:30:00,1225.615,0.0,235.49999999999727,244360.18700000073,0.0,58108.39199999918,0.19211381291938823,402.0
1795,2018-10-17 12:30:00,buy,1.0,1224.41,1221.01,1227.4700000000003,2018-10-17 12:30:00,1227.4700000000003,-0.0,276.0000000000173,244636.18700000076,0.0,57832.39199999915,0.1912013214437033,402.0
1796,2018-10-15 19:30:00,sell,1.0,1226.44,1233.18,1220.374,2018-10-18 10:00:00,1220.374,32.635,543.9650000000031,245180.15200000076,2.0,57288.42699999915,0.18940290323511313,402.0
1797,2018-10-17 21:00:00,sell,1.0,1224.44,1228.81,1220.507,2018-10-18 10:00:00,1220.507,19.581,343.71899999999926,245523.87100000077,0.0,56944.70799999914,0.1882665240411605,402.0
1798,2018-10-18 08:15:00,buy,1.0,1223.77,1221.93,1225.426,2018-10-18 10:00:00,1221.93,-0.0,-213.99999999999181,245309.87100000077,0.0,57158.70799999914,0.18897403554766976,402.0
1799,2018-10-18 09:45:00,sell,1.0,1222.64,1223.79,1221.6050000000002,2018-10-18 10:00:00,1221.6050000000002,0.0,73.49999999998545,245383.37100000074,0.0,57085.20799999917,0.18873103510034073,402.0
