2016.09.05,08:00,1.33120,1.33165,1.33116,1.33140,520
2016.09.05,08:15,1.33140,1.33174,1.33113,1.33169,502
2016.09.05,08:30,1.33169,1.33263,1.33169,1.33230,740
2016.09.05,08:45,1.33229,1.33251,1.33204,1.33251,535
2016.09.05,09:00,1.33249,1.33272,1.33173,1.33176,752
2016.09.05,09:15,1.33176,1.33206,1.33170,1.33198,530
2016.09.05,09:30,1.33197,1.33247,1.33118,1.33173,793
2016.09.05,09:45,1.33173,1.33174,1.33078,1.33163,823
2016.09.05,10:00,1.33164,1.33250,1.33155,1.33195,1117
2016.09.05,10:15,1.33195,1.33247,1.33154,1.33164,847
2016.09.05,10:30,1.33164,1.33223,1.33103,1.33120,937
2016.09.05,10:45,1.33120,1.33162,1.33056,1.33076,1146
2016.09.05,11:00,1.33076,1.33118,1.32915,1.32967,1857
2016.09.05,11:15,1.32967,1.33076,1.32905,1.33018,1905
2016.09.05,11:30,1.33018,1.33044,1.32940,1.32943,1836
2016.09.05,11:45,1.32944,1.33027,1.32928,1.33027,1591
2016.09.05,12:00,1.33028,1.33231,1.33010,1.33195,1779
2016.09.05,12:15,1.33195,1.33340,1.33180,1.33244,1839
2016.09.05,12:30,1.33226,1.33731,1.33226,1.33711,3349
2016.09.05,12:45,1.33711,1.33750,1.33616,1.33655,1856
2016.09.05,13:00,1.33654,1.33656,1.33520,1.33545,1576
2016.09.05,13:15,1.33545,1.33594,1.33497,1.33497,1429
2016.09.05,13:30,1.33498,1.33499,1.33275,1.33322,2264
2016.09.05,13:45,1.33320,1.33359,1.33183,1.33242,2131
2016.09.05,14:00,1.33245,1.33339,1.33189,1.33203,1784
2016.09.05,14:15,1.33202,1.33287,1.33185,1.33221,1666
2016.09.05,14:30,1.33225,1.33298,1.33213,1.33243,1062
2016.09.05,14:45,1.33241,1.33316,1.33214,1.33297,1352
2016.09.05,15:00,1.33297,1.33346,1.33270,1.33283,1323
2016.09.05,15:15,1.33282,1.33321,1.33212,1.33213,1074
2016.09.05,15:30,1.33213,1.33258,1.33187,1.33193,1070
2016.09.05,15:45,1.33194,1.33291,1.33184,1.33203,1186
2016.09.05,16:00,1.33205,1.33379,1.33203,1.33378,1431
2016.09.05,16:15,1.33380,1.33429,1.33256,1.33259,1234
2016.09.05,16:30,1.33259,1.33301,1.33243,1.33261,878
2016.09.05,16:45,1.33261,1.33293,1.33219,1.33227,1319
2016.09.05,17:00,1.33227,1.33282,1.33183,1.33254,1505
2016.09.05,17:15,1.33254,1.33283,1.33220,1.33242,933
2016.09.05,17:30,1.33244,1.33293,1.33220,1.33274,1154
2016.09.05,17:45,1.33273,1.33304,1.33224,1.33249,1009
2016.09.05,18:00,1.33248,1.33292,1.33068,1.33072,1575
2016.09.05,18:15,1.33074,1.33078,1.32946,1.33004,1421
2016.09.05,18:30,1.33001,1.33064,1.32978,1.33047,1132
2016.09.05,18:45,1.33047,1.33055,1.32918,1.32927,1438
2016.09.05,19:00,1.32927,1.33008,1.32874,1.32990,1239
2016.09.05,19:15,1.32991,1.33154,1.32984,1.33083,1079
2016.09.05,19:30,1.33080,1.33128,1.33054,1.33105,882
2016.09.05,19:45,1.33104,1.33131,1.33030,1.33110,749
2016.09.05,20:00,1.33110,1.33149,1.33107,1.33122,606
2016.09.05,20:15,1.33122,1.33152,1.33093,1.33143,673
