R,年收益,最大衰落金额,MAR,期望,最大衰落期,胜率,盈利月占比,盈利单均盈利,亏损单均亏损,月均交易,多单数,多单胜率,空单数,空单胜率,获利因子,平均同时开仓数,25%同时开仓数,50%同时开仓数,75%同时开仓数,最大同时开仓数,平均持仓天数,25%持仓天数,50%持仓天数,75%持仓天数,最大持仓天数,平均衰落金额,25%衰落金额,50%衰落金额,75%衰落金额,最大衰落金额(副本),平均衰落率,25%衰落率,50%衰落率,75%衰落率,最大衰落率,平均衰落期,25%衰落期,50%衰落期,75%衰落期,最大衰落期(副本),平均每单获利,25%每单获利,50%每单获利,75%每单获利,最小每单获利,最大每单获利
1.7,7174.149817,38121.56,0.188191402,129.4755971,1480,0.39483066,0.536842105,2702.040813,-1548.94324,4.554187525,561,0.370766488,561,0.418894831,-1.138126021,1.849376114,1,2,3,8,9.82798574,2,5,12,1027,9502.140045,4219.1875,8576.55,13844.895,38121.56,0.023586306,0.01092138,0.022121203,0.034239949,0.08855027,420.7620321,67.5,273,695,1480,129.4755971,-1539.3825,-907.88,2096.03,-10128.16,12526.56
1.8,6631.807523,38118.03,0.173980857,119.6876649,1399,0.377896613,0.552631579,2863.620684,-1547.114054,4.554187525,561,0.354723708,561,0.401069519,-1.124355356,1.934937611,1,2,3,8,10.51336898,2,6,13,1027,9953.461453,4588.1075,9939.255,14117.165,38118.03,0.026039195,0.012191956,0.025892037,0.036750076,0.090262704,322.8253119,58.25,220.5,495,1399,119.6876649,-1558.6775,-945.195,2168.97,-10128.16,13196.79
1.9,5839.24837,35036.86,0.166660151,105.3839394,1936,0.361853832,0.547368421,3024.760837,-1550.016927,4.554187525,561,0.34402852,561,0.379679144,-1.106541259,2.037433155,1,2,3,8,11.1399287,2,6,14,1027,10858.26811,5406.2575,10620.23,15472.8,35036.86,0.027998304,0.015176523,0.028467742,0.038742919,0.08348969,544.614082,99.25,380.5,882.25,1936,105.3839394,-1570.43,-971.9,2191.565,-10128.16,13856.91
2,4783.157834,37138.55,0.128792261,86.32412656,1794,0.346702317,0.510638298,3175.659769,-1553.173233,4.554187525,561,0.32798574,561,0.365418895,-1.085074847,2.13368984,1,2,3,8,11.76559715,2,6,14,1027,14157.05363,7674.65,13439.42,20580.105,37138.55,0.039206324,0.021000986,0.036769211,0.05649426,0.105803808,468.5142602,128.25,373.5,664.75,1794,86.32412656,-1581.5325,-1006.965,2203.52,-10128.16,14594.54
2.1,5146.484691,42322.77,0.121600847,92.88127451,1792,0.335115865,0.505319149,3351.638431,-1549.602225,4.554187525,561,0.319073084,561,0.351158645,-1.090149218,2.226381462,1,2,3,8,12.35026738,2,6,15,1027,14822.83948,6955.505,12931.74,22723.7875,42322.77,0.041746166,0.019223257,0.035545333,0.062331162,0.122667492,433.8983957,81,285,638.25,1792,92.88127451,-1594.6825,-1043.52,2243.5075,-10128.16,15268.14
2.2,5070.707807,44813.41,0.113151572,91.51368984,1791,0.324420677,0.497354497,3510.629066,-1550.383404,4.554187525,561,0.306595365,561,0.342245989,-1.087371664,2.331550802,1,2,3,8,13.114082,2,6,15,1027,15281.55489,7144.965,12626.515,22367.785,44813.41,0.04427039,0.020107127,0.035228157,0.062445464,0.133672113,429.785205,86.25,283,632.5,1791,91.51368984,-1604.02,-1061.28,2291.9025,-10128.16,16009.14
2.3,5474.424178,44665.13,0.122565952,98.79976827,1793,0.318181818,0.5,3647.546022,-1557.281817,4.554187525,561,0.304812834,561,0.331550802,-1.093050805,2.411764706,1,2,3,8,13.66042781,2,6,15,1027,13005.0718,5879.3075,11137.645,19207.5725,44665.13,0.036646865,0.016198227,0.030748955,0.053981294,0.128773226,342.486631,63.25,190,417.25,1793,98.79976827,-1617.98,-1068.895,2345.695,-10128.16,16750.14
2.4,6341.29745,38371.8,0.165259317,114.4446791,1789,0.311942959,0.489473684,3802.2574,-1557.49114,4.554187525,561,0.297682709,561,0.326203209,-1.106793686,2.476827094,1,2,3,8,14.07754011,2,7,16,1027,12780.26676,6469.185,12130.87,18295.4025,38371.8,0.034261348,0.017441096,0.03270581,0.048648577,0.106615911,424.412656,77.25,248,692,1789,114.4446791,-1633.035,-1088.065,2398.98,-10128.16,17491.14
2.5,4693.024415,43137.99,0.108790985,84.69744207,1684,0.300356506,0.505263158,3923.254807,-1563.19279,4.554187525,561,0.28342246,561,0.317290553,-1.077442783,2.565062389,1,2,4,8,14.70855615,2,7,17,1027,15318.75993,7923.4825,14637.14,22021.935,43137.99,0.044085353,0.0224317,0.041735093,0.064352727,0.127792806,516.6524064,131,417.5,814,1684,84.69744207,-1643.96,-1106.85,2374.755,-10128.16,18232.14
2.6,3153.629137,62283.21,0.050633696,56.91517825,3201,0.29144385,0.505263158,4022.871651,-1574.365031,4.554187525,561,0.278074866,561,0.304812834,-1.051020933,2.644385027,1,2,4,8,15.29322638,2,7,17,1027,20641.23053,9223.2025,17626.65,32136.0375,62283.21,0.060729384,0.027817463,0.051599301,0.094003935,0.182190066,828.8921569,134,389.5,1365,3201,56.91517825,-1660.045,-1126.87,2248.975,-10128.16,18973.14
2.7,3324.5564,68962.56,0.048208135,59.99999109,3190,0.282531194,0.494736842,4201.964479,-1571.059317,4.554187525,561,0.272727273,561,0.292335116,-1.053229891,2.78342246,1,3,4,9,16.05882353,2.25,7,18,1027,21016.38761,9596.2075,19009.71,30554.9925,68962.56,0.060487209,0.028256985,0.054492495,0.087330862,0.198637202,851.3030303,153,417,1342.5,3190,59.99999109,-1664.15,-1133.085,2188.2425,-10128.16,19710.77
2.8,3510.344412,67010.04,0.05238535,63.35300357,3210,0.27540107,0.463541667,4360.644984,-1569.935092,4.554187525,561,0.267379679,561,0.28342246,-1.05569136,2.827094474,2,3,4,9,16.41265597,3,7,19,1027,21917.13875,10480.3325,20644.185,31817.0075,67010.04,0.061545618,0.030505614,0.058083053,0.086568532,0.188946685,850.1042781,141.25,405,1354.5,3210,63.35300357,-1664.525,-1143.205,2069.6975,-10128.16,20451.77
2.9,2612.552564,59099.79,0.044205784,47.15008913,1903,0.266488414,0.447916667,4494.925117,-1568.748736,4.554187525,561,0.256684492,561,0.276292335,-1.040975301,2.946524064,2,3,4,10,17.06773619,3,7,19,1027,21034.26718,11224.115,19382.44,30614.575,59099.79,0.061230918,0.033954858,0.056525882,0.087215131,0.173709474,549.6809269,175,388,862,1903,47.15008913,-1674.82,-1159.72,1751.24,-10128.16,21192.77
3,2465.996496,68400.35,0.036052396,44.50511586,1906,0.258467023,0.4375,4669.616,-1567.612861,4.554187525,561,0.249554367,561,0.267379679,-1.038286058,3.118538324,2,3,4,10,18.18538324,3,7,19.75,1027,21696.55857,10380.3275,18655.265,32934.29,68400.35,0.061575547,0.030162625,0.054348582,0.09172919,0.194032163,542.2023173,134,388,870.5,1906,44.50511586,-1678.12,-1171.445,1525.2575,-10128.16,21933.77
