R,年收益,最大衰落金额,MAR,期望,最大衰落期,胜率,盈利月占比,盈利单均盈利,亏损单均亏损,月均交易,多单数,多单胜率,空单数,空单胜率,获利因子,平均同时开仓数,25%同时开仓数,50%同时开仓数,75%同时开仓数,最大同时开仓数,平均持仓天数,25%持仓天数,50%持仓天数,75%持仓天数,最大持仓天数,平均衰落金额,25%衰落金额,50%衰落金额,75%衰落金额,最大衰落金额(副本),平均衰落率,25%衰落率,50%衰落率,75%衰落率,最大衰落率,平均衰落期,25%衰落期,50%衰落期,75%衰落期,最大衰落期(副本),平均每单获利,25%每单获利,50%每单获利,75%每单获利,最小每单获利,最大每单获利
1.4,17335 ,23687 ,0.732 ,91.2 ,396,0.456 ,0.610738255,1391.479441,-998.9134732,15.62796209,1319,0.461713419,1319,0.450341168,-1.167784346,1.375284306,0,1,2,9,1.681576952,0,0,2,44,6517.011022,1857.01375,5289.482,10029.63,23687.404,0.015727667,0.005012933,0.013266462,0.023924631,0.068276852,96.65163002,12,63,165,396,91.17093745,-897.099,-320,1018.132,-5580.29,14694.78
1.5,19733 ,29436 ,0.670 ,103.8 ,439,0.443 ,0.59602649,1490.572851,-999.8016698,15.62796209,1319,0.450341168,1319,0.435936315,-1.186402531,1.460197119,0,1,2,9,1.843062926,0,0,2,92,6410.319537,1445.192,4803.5035,10195.32,29435.618,0.014633213,0.003887871,0.011399921,0.022239751,0.077054033,88.27520849,12,58,142,439,103.7797612,-909.75,-346,1060.17675,-9072.72,15215.16
1.6,21143 ,33778 ,0.626 ,111.2 ,445,0.428 ,0.602649007,1593.392958,-999.4702328,15.62796209,1319,0.438210766,1319,0.418498863,-1.194620963,1.517437453,1,1,2,9,1.963229719,0,0,3,92,7047.337805,1372.7645,5575.5305,11449.60925,33777.769,0.015647217,0.003557544,0.012258705,0.025137343,0.091953792,93.81652767,11,57,153,445,111.1951979,-933.122,-380.5,1094.225,-9072.72,16212.16
1.7,22684 ,33199 ,0.683 ,119.3 ,410,0.417 ,0.633333333,1689.065183,-1001.668377,15.62796209,1319,0.426838514,1319,0.406368461,-1.204152577,1.614101592,1,1,2,9,2.144048522,0,0,3,92,6496.3663,1623.027,5212.4885,10244.83225,33199.35,0.014139576,0.003945162,0.011165529,0.022516263,0.087890548,83.73578469,9,49,137,410,119.300608,-946.61175,-408.455,1125.6225,-9072.72,17209.16
1.8,22345 ,38049 ,0.587 ,117.5 ,394,0.404 ,0.606666667,1778.578281,-1007.099081,15.62796209,1319,0.416982563,1319,0.390447309,-1.19569846,1.692570129,1,1,2.75,9,2.29757392,0,1,3,92,7187.673727,1692.9065,5564.6315,10810.30875,38048.993,0.015767547,0.004114541,0.011844008,0.024059151,0.100541013,84.3100834,10,47,136.75,394,117.5204754,-970,-426.9935,1151.14525,-9072.72,18206.16
1.9,24117 ,54621 ,0.442 ,126.8 ,1316,0.395 ,0.633333333,1867.825439,-1009.823893,15.62796209,1319,0.407884761,1319,0.382107657,-1.207606594,1.761561789,1,2,3,9,2.443896892,0,1,3,92,11653.41026,1695.05275,6598.1205,16886.1915,54620.594,0.022854223,0.004114504,0.014445421,0.034737036,0.096757676,234.4818044,11,69,239.75,1316,126.8366846,-980.108,-442.7725,1182.70225,-9072.72,19203.16
2,22756 ,56027 ,0.406 ,119.7 ,1385,0.382 ,0.642384106,1953.099689,-1014.118941,15.62796209,1319,0.39802881,1319,0.366186505,-1.190990903,1.852918878,1,2,3,9,2.619408643,0,1,3,92,13068.23242,1939.30525,6485.18,22141.05675,56027.082,0.025783551,0.004599943,0.015758013,0.043762152,0.113711953,254.616376,12,68,279,1385,119.6780186,-998.375,-468.7185,1195.81425,-9072.72,20212.25
2.1,23465 ,51823 ,0.453 ,123.4 ,1381,0.370 ,0.635761589,2055.428252,-1013.00328,15.62796209,1319,0.387414708,1319,0.353297953,-1.193483451,1.915466262,1,2,3,9,2.758908264,0,1,3,92,12919.90725,2008.21525,6999.176,21774.67625,51822.84,0.024671863,0.004799682,0.017132349,0.039723805,0.109108098,254.9969674,12,65.5,280.75,1381,123.4097627,-1006.47625,-483.865,1216.3125,-9072.72,21209.25
2.2,23348 ,50921 ,0.459 ,122.8 ,1333,0.360 ,0.625,2143.659976,-1014.546014,15.62796209,1319,0.374526156,1319,0.345716452,-1.189146367,1.998862775,1,2,3,9,2.904094011,0,1,4,92,13165.00909,2011.96875,7653.019,23638.50775,50921.137,0.02547368,0.004914028,0.018391915,0.043189779,0.105463532,243.8646702,12,67,269,1333,122.7912453,-1017.54375,-499.955,1179.7025,-9072.72,22242.52
2.3,25858 ,44292 ,0.584 ,136.0 ,1303,0.351 ,0.651315789,2253.56144,-1011.27633,15.62796209,1319,0.365428355,1319,0.337376801,-1.207339155,2.056861259,1,2,3,9,3.027672479,0,1,4,92,9924.048657,1903.43325,6865.188,15794.51725,44292.438,0.019344983,0.004382022,0.01576677,0.029002744,0.102382259,245.4590599,12,64,312.75,1303,135.9960781,-1021.696,-510,1179.94725,-9072.72,23239.52
2.4,25697 ,52658 ,0.488 ,135.1 ,1371,0.342 ,0.625,2346.782172,-1012.053737,15.62796209,1319,0.356330553,1319,0.326762699,-1.202802107,2.13495072,1,2,3,9,3.181197877,0,1,4,92,13887.2956,2222.0365,8433.044,23130.55,52658.434,0.026535415,0.00513501,0.02022571,0.04354904,0.125167545,268.7952995,13,84,341.5,1371,135.1453359,-1029.43575,-524,1182.0675,-9072.72,24321.15
2.5,24321 ,62284 ,0.390 ,127.9 ,1724,0.332 ,0.59602649,2427.07819,-1013.198241,15.62796209,1319,0.341925701,1319,0.321455648,-1.188899327,2.236921911,1,2,3,9,3.350265353,0,1,4,99,15877.59498,2721.68325,9278.147,29141.8275,62283.978,0.029471515,0.006500573,0.021962697,0.049816125,0.121271548,408.136467,14,144.5,713.75,1724,127.9093696,-1035.40875,-533,1136.1475,-9072.72,25330.24
2.6,22970 ,58913 ,0.390 ,120.8 ,1704,0.322 ,0.629139073,2511.817692,-1015.86041,15.62796209,1319,0.3328279,1319,0.311599697,-1.175453601,2.340030326,1,2,3,10,3.544351782,0,1,4,99,14661.01715,2589.4125,9975.577,25890.9285,58912.86,0.027993279,0.006139686,0.024042366,0.045618172,0.119150802,384.6527672,13,78,682,1704,120.8061505,-1042.42225,-543.73,1107.9225,-9072.72,26327.24
2.7,24158 ,59380 ,0.407 ,127.1 ,809,0.316 ,0.61589404,2604.980036,-1016.499105,15.62796209,1319,0.326004549,1319,0.305534496,-1.182674393,2.406747536,1,2,3,10,3.692949204,0,1,4,99,10937.80328,2764.858,9280.7705,16233.33425,59380.034,0.02227634,0.00633447,0.01941549,0.032215891,0.149067885,160.4408643,15.25,77,256,809,127.0536334,-1049.5925,-551.2635,1100.92225,-9072.72,27324.24
2.8,23169 ,57869 ,0.400 ,121.8 ,1238,0.307 ,0.59602649,2692.631636,-1019.313067,15.62796209,1319,0.318423048,1319,0.296436694,-1.172604777,2.549279757,1,2,4,10,3.970432146,0,1,4,298,12002.66473,3165.9485,9460.152,18267.75675,57869.142,0.02369332,0.007081036,0.020747789,0.033843205,0.142042088,238.4708112,19,82,315,1238,121.8496145,-1065.89525,-558.5,1090.48725,-9072.72,28321.24
2.9,24455 ,56332 ,0.434 ,128.6 ,1565,0.301 ,0.562913907,2789.10556,-1019.018168,15.62796209,1319,0.312357847,1319,0.290371494,-1.180659912,2.615238817,1,2,4,10,4.113343442,0,1,5,298,12972.05481,3098.2625,10505.3055,20304.653,56332.142,0.024514262,0.00715529,0.021100318,0.03627622,0.137391404,343.8358605,18,95.5,532,1565,128.6157832,-1070,-576.7185,1068.385,-9072.72,29318.24
3,25919 ,54802 ,0.473 ,136.3 ,584,0.295 ,0.59602649,2898.251785,-1016.838964,15.62796209,1319,0.305534496,1319,0.283548143,-1.190031831,2.680818802,1,2,4,10,4.255496588,0,1,5,298,11431.83277,3190.48025,9782.456,17683.1965,54801.669,0.022221642,0.006621648,0.020232055,0.033337391,0.131617907,122.3912055,17,59,200,584,136.3170299,-1073.11875,-579.581,1013.473,-9072.72,30327.33
