R,年收益,最大衰落金额,MAR,期望,最大衰落期,胜率,盈利月占比,盈利单均盈利,亏损单均亏损,月均交易,多单数,多单胜率,空单数,空单胜率,获利因子,平均同时开仓数,25%同时开仓数,50%同时开仓数,75%同时开仓数,最大同时开仓数,平均持仓天数,25%持仓天数,50%持仓天数,75%持仓天数,最大持仓天数,平均衰落金额,25%衰落金额,50%衰落金额,75%衰落金额,最大衰落金额(副本),平均衰落率,25%衰落率,50%衰落率,75%衰落率,最大衰落率,平均衰落期,25%衰落期,50%衰落期,75%衰落期,最大衰落期(副本),平均每单获利,25%每单获利,50%每单获利,75%每单获利,最小每单获利,最大每单获利
0.1,-555.9793036,15990.1,-0.034770221,-11.63214144,2498,0.899575672,0.656934307,182.8589591,-1753.834113,3.928505279,353,0.915014164,354,0.884180791,-0.933956174,0.148514851,0,0,0,2,0.487977369,0,0,0,35,7686.2131,4391.556,7497.22,11071.166,15990.1,0.025384511,0.014590981,0.024976498,0.036581762,0.052432297,940.9151344,212.5,838,1546,2498,-11.63214144,63.8,137,217.8,-6597.91,1423
0.2,1001.453657,18204.217,0.05501218,20.95230976,1919,0.841584158,0.625899281,394.4007042,-1962.992286,3.928505279,353,0.855524079,354,0.827683616,-1.067377471,0.285714286,0,0,0,4,0.917963225,0,0,1,35,6634.02756,2758.3155,5876.061,10282.4975,18204.217,0.020679503,0.008786761,0.0189841,0.031589061,0.055227337,542.6676096,69,275,926,1919,20.95230976,129,276,454.8,-6688.37,2876
0.3,3285.257524,22635.382,0.145138152,68.65743281,1928,0.787835926,0.620437956,611.4342531,-1946.853827,3.93287595,353,0.798866856,354,0.776836158,-1.166219653,0.441301273,0,0,1,4,1.561527581,0,0,2,35,6689.43732,2118.311,6293.253,11014.275,22635.382,0.019168286,0.006649667,0.018629398,0.030817968,0.062141364,507.9575672,30.5,256,876,1928,68.65743281,134.7,392.4,673.5365,-6688.37,4329
0.4,4685.870948,21216.653,0.22085816,97.92835644,799,0.749646393,0.602941176,816.337834,-2053.241266,3.93287595,353,0.764872521,354,0.734463277,-1.190508619,0.545968883,0,0,1,5,2.182461103,0,1,3,81,3419.698496,1223.2425,2931.392,5448.3505,21216.653,0.009979675,0.00342565,0.00855116,0.016044061,0.061322274,170.6732673,24,110,264,799,97.92835644,-156.527,502.27,888.7365,-14618.743,4285.35
0.5,5763.609689,21216.653,0.271654991,120.4516365,696,0.708628006,0.566176471,1023.12594,-2074.887325,3.93287595,353,0.725212465,354,0.692090395,-1.199237177,0.669024045,0,0,1,5,2.869872702,0,1,3,104,3715.946479,1556.563,3392.18,5546.5,21216.653,0.010630883,0.004567061,0.009816973,0.015870604,0.059835931,126.1640736,15,72,192,696,120.4516365,-777.8445,611.18,1098.1845,-14618.743,5343.03
0.6,7130.389718,21216.653,0.336075144,149.015488,714,0.670438472,0.611940299,1238.365038,-2067.086172,3.93287595,353,0.688385269,354,0.652542373,-1.218744086,0.765205092,0,0,1,6,3.478076379,0,1,4,104,4043.168536,1463.107,3473.401,6011.655,21216.653,0.011124502,0.004103702,0.009495732,0.017454981,0.057801796,141.8217822,19,74,211.5,714,149.015488,-1136.7635,666.69,1301.4365,-14618.743,6376.53
0.7,5078.592945,33475.009,0.151712967,106.1357143,2287,0.625176803,0.585185185,1432.688133,-2106.453604,3.93287595,353,0.645892351,354,0.604519774,-1.134425973,0.878359264,0,1,1,6,4.338048091,0,2,5,104,9063.670669,2880.016,7105.107,14546.3335,33475.009,0.024561695,0.008781591,0.019979583,0.039002831,0.08920908,557.6053748,44,239,946.5,2287,106.1357143,-1366.7905,680.746,1453.4555,-14618.743,7422.12
0.8,6438.531372,35000.249,0.18395673,134.5565856,1916,0.592644979,0.602941176,1656.177876,-2079.191056,3.93287595,353,0.626062323,354,0.559322034,-1.158868387,0.956152758,0,1,2,6,4.906647808,0,2,6,104,8764.411069,2529.5865,7275.685,13744.7195,35000.249,0.02278707,0.007185331,0.021167983,0.035582671,0.08831758,396.6605375,34,171,589.5,1916,134.5565856,-1438.982,702,1593.9365,-14618.743,8455.62
0.9,6571.666763,32098.205,0.20473627,137.3389349,2432,0.564356436,0.592592593,1856.805195,-2090.151448,3.93287595,353,0.592067989,354,0.536723164,-1.150828919,1.032531825,0,1,2,6,5.471004243,1,3,7,104,10435.04444,3253.515,8094.553,17061.578,32098.205,0.026402678,0.009272361,0.02117559,0.042410127,0.07911078,668.1004243,53,319,1191,2432,137.3389349,-1545.4525,700.17,1758.18,-14618.743,9525.39
1,4540.302883,48363.753,0.093878217,94.88618105,2427,0.536067893,0.571428571,2027.512095,-2138.239494,3.93287595,353,0.563739377,354,0.508474576,-1.095651589,1.155586987,0,1,2,7,6.301272984,1,3,7,104,17927.7832,3198.8215,15118.299,32934.874,48363.753,0.046695363,0.009458511,0.03910173,0.084970805,0.124776764,649.3394625,45,260,1201,2427,94.88618105,-1672.8175,582.09,1859.815,-14618.743,10583.07
