,openTime,type,size,openPrice,S/L,T/P,closeTime,closePrice,swap,profit,balance,days,drawDown,drawDownRate,drawDownPeriod
0,,,,,,,,,,,300000.0,,,,
1,2004-07-06 12:00:00,buy,1.0,398.1,391.3,418.50000000000006,2004-07-06 16:00:00,391.3,-0.0,-710.0000000000011,299290.0,0.0,710.0,0.0023666666666666667,0.0
2,2004-07-06 20:00:00,sell,1.0,392.1,398.8,372.00000000000006,2004-07-07 12:00:00,398.8,6.527,-706.5269999999989,298583.473,0.0,1416.5270000000019,0.004721756666666673,0.0
3,2004-06-30 00:00:00,sell,1.0,391.5,404.1,353.69999999999993,2004-07-08 12:00:00,404.1,65.27,-1355.2700000000023,297228.203,8.0,2771.7970000000205,0.009239323333333401,1.0
4,2004-07-07 16:00:00,buy,1.0,399.8,391.6,424.4,2004-07-23 12:00:00,391.6,-217.62,-632.3799999999989,296595.823,15.0,3404.177000000025,0.011347256666666751,16.0
5,2004-08-12 16:00:00,sell,1.0,393.3,399.8,373.8,2004-08-16 00:00:00,399.8,13.054,-693.054,295902.769,3.0,4097.231000000029,0.013657436666666764,39.0
6,2004-07-20 20:00:00,sell,1.0,401.1,407.0,383.4000000000001,2004-08-19 12:00:00,407.0,208.864,-828.8639999999978,295073.90499999997,29.0,4926.09500000003,0.016420316666666768,42.0
7,2004-08-27 00:00:00,buy,1.0,406.3,401.6,420.4,2004-08-27 16:00:00,401.6,-0.0,-499.99999999999886,294573.90499999997,0.0,5426.09500000003,0.018086983333333435,50.0
8,2004-08-27 20:00:00,sell,1.0,402.3,410.1,378.9,2004-08-31 16:00:00,410.1,13.054,-823.0540000000011,293750.85099999997,3.0,6249.149000000034,0.02083049666666678,54.0
9,2004-08-31 04:00:00,buy,1.0,407.1,402.1,422.1,2004-09-03 12:00:00,402.1,-60.45,-469.55,293281.301,3.0,6718.699000000022,0.02239566333333341,56.0
10,2004-09-03 00:00:00,sell,1.0,405.0,409.6,391.19999999999993,2004-09-21 12:00:00,409.6,104.432,-594.4320000000023,292686.86899999995,18.0,7313.131000000052,0.024377103333333507,74.0
11,2004-08-25 04:00:00,sell,1.0,403.5,412.6,376.19999999999993,2004-09-29 00:00:00,412.6,228.445,-1168.4450000000022,291518.42399999994,34.0,8481.57600000006,0.028271920000000197,81.0
12,2004-08-02 08:00:00,buy,1.0,392.3,384.6,415.4,2004-09-30 12:00:00,415.4,-737.49,3017.489999999996,294535.91399999993,59.0,5464.086000000068,0.01821362000000023,82.0
13,2004-08-16 00:00:00,buy,1.0,398.3,392.3,416.3,2004-09-30 16:00:00,416.3,-568.23,2338.23,296874.1439999999,45.0,3125.856000000087,0.01041952000000029,82.0
14,2004-10-19 04:00:00,sell,1.0,414.8,420.5,397.70000000000005,2004-10-20 08:00:00,420.5,6.527,-606.5269999999989,296267.6169999999,1.0,3732.383000000089,0.012441276666666962,101.0
15,2004-10-13 00:00:00,sell,1.0,414.8,422.3,392.3,2004-10-20 12:00:00,422.3,45.689,-825.689,295441.9279999999,7.0,4558.072000000102,0.015193573333333673,101.0
16,2004-09-13 20:00:00,buy,1.0,403.6,395.8,427.00000000000006,2004-10-25 00:00:00,427.00000000000006,-507.78,2817.7800000000034,298259.7079999999,41.0,1740.292000000074,0.00580097333333358,105.0
17,2004-10-28 12:00:00,sell,1.0,423.7,428.7,408.7,2004-11-01 00:00:00,428.7,13.054,-543.054,297716.6539999999,3.0,2283.3460000000778,0.007611153333333592,112.0
18,2004-10-29 12:00:00,buy,1.0,425.5,421.3,438.09999999999997,2004-11-02 16:00:00,421.3,-24.18,-425.81999999999886,297290.8339999999,4.0,2709.1660000000848,0.009030553333333616,113.0
19,2004-11-02 20:00:00,sell,1.0,418.3,429.3,385.3,2004-11-04 12:00:00,429.3,26.108,-1156.108,296134.7259999999,1.0,3865.274000000092,0.012884246666666974,114.0
20,2004-10-19 16:00:00,buy,1.0,419.3,410.8,444.8,2004-11-18 04:00:00,444.8,-386.88,2906.88,299041.6059999999,29.0,958.3940000000875,0.0031946466666669584,127.0
21,2004-10-15 16:00:00,buy,1.0,420.2,410.8,448.3999999999999,2004-11-22 20:00:00,448.3999999999999,-435.24,3225.2399999999934,302266.8459999999,38.0,-2266.845999999903,-0.007556153333333011,0.0
22,2004-12-03 16:00:00,sell,1.0,448.8,455.7,428.1000000000001,2004-12-03 20:00:00,455.7,0.0,-719.9999999999977,301546.8459999999,0.0,720.0,0.0023820012334399396,11.0
23,2004-12-03 20:00:00,buy,1.0,454.3,448.3,472.3,2004-12-08 04:00:00,448.3,-36.269999999999996,-593.73,300953.1159999999,4.0,1313.7299999999814,0.004346259000565288,15.0
24,2004-12-17 00:00:00,sell,1.0,436.8,441.8,421.8,2004-12-20 12:00:00,441.8,6.527,-536.527,300416.5889999999,3.0,1850.2569999999832,0.006121270078028948,27.0
25,2004-12-16 08:00:00,buy,1.0,441.8,433.6,466.4,2004-12-29 16:00:00,433.6,-132.99,-717.0099999999989,299699.5789999999,13.0,2567.2669999999925,0.00849337938968005,36.0
26,2004-12-17 20:00:00,buy,1.0,441.2,434.5,461.29999999999995,2004-12-29 16:00:00,434.5,-120.9,-579.0999999999989,299120.47899999993,11.0,3146.3669999999693,0.0104092362150759,36.0
27,2004-12-08 04:00:00,sell,1.0,448.8,455.7,428.1000000000001,2005-01-03 16:00:00,428.1000000000001,169.702,1870.2979999999932,300990.77699999994,26.0,1276.0689999999595,0.0042216637943810744,41.0
28,2004-11-04 16:00:00,buy,1.0,430.6,418.2,467.8000000000001,2005-01-07 16:00:00,418.2,-773.76,-496.2400000000034,300494.53699999995,64.0,1772.3089999999502,0.005863391977828593,45.0
29,2005-01-14 12:00:00,sell,1.0,421.3,426.3,406.3,2005-01-19 12:00:00,426.3,19.581,-549.581,299944.95599999995,5.0,2321.8899999999558,0.00768159006098855,56.0
30,2005-01-19 16:00:00,buy,1.0,425.7,420.5,441.29999999999995,2005-01-20 12:00:00,420.5,-36.269999999999996,-513.7299999999989,299431.22599999997,0.0,2835.619999999937,0.009381181024398349,57.0
31,2005-01-20 08:00:00,sell,1.0,422.2,425.8,411.3999999999999,2005-01-21 16:00:00,425.8,6.527,-396.52700000000226,299034.69899999996,1.0,3232.146999999939,0.010693025195359798,58.0
32,2005-01-26 04:00:00,sell,1.0,421.2,427.3,402.8999999999999,2005-01-27 08:00:00,427.3,19.581,-659.5810000000023,298375.11799999996,1.0,3891.7279999999446,0.012875140133628634,63.0
33,2005-01-21 20:00:00,buy,1.0,426.8,419.8,447.8,2005-01-31 16:00:00,419.8,-96.72,-633.28,297741.83799999993,9.0,4525.0079999999725,0.014970242551841012,67.0
34,2005-01-26 20:00:00,buy,1.0,427.2,420.7,446.7,2005-01-31 16:00:00,420.7,-60.45,-619.55,297122.28799999994,4.0,5144.557999999961,0.017019921529865575,67.0
35,2005-01-13 04:00:00,buy,1.0,425.8,417.0,452.20000000000005,2005-02-03 12:00:00,417.0,-253.89,-656.1100000000012,296466.17799999996,21.0,5800.667999999947,0.01919055323718814,69.0
36,2005-01-31 12:00:00,sell,1.0,423.3,427.3,411.3,2005-02-08 12:00:00,411.3,52.216,1117.784,297583.96199999994,8.0,4682.883999999962,0.015492549255633425,74.0
37,2005-02-11 04:00:00,buy,1.0,416.8,410.6,435.4,2005-02-23 00:00:00,435.4,-120.9,1950.8999999999967,299534.86199999996,11.0,2731.9839999999385,0.009038318413525046,88.0
38,2005-03-02 08:00:00,sell,1.0,431.3,436.6,415.4,2005-03-08 16:00:00,436.6,39.162,-599.1620000000012,298935.69999999995,6.0,3331.1459999999497,0.01102054705662278,101.0
39,2004-12-29 20:00:00,sell,1.0,434.8,444.6,405.4,2005-03-11 16:00:00,444.6,482.998,-1492.9980000000012,297442.70199999993,71.0,4824.143999999971,0.015959884664294186,104.0
40,2005-03-07 04:00:00,buy,1.0,434.1,429.0,449.4000000000001,2005-03-21 16:00:00,429.0,-169.26,-370.7400000000023,297071.96199999994,14.0,5194.883999999962,0.017186416799412938,114.0
41,2005-04-01 08:00:00,buy,1.0,427.3,424.3,436.3,2005-04-01 16:00:00,424.3,-0.0,-330.0,296741.96199999994,0.0,5524.883999999962,0.018278167364739577,125.0
42,2005-04-01 20:00:00,sell,1.0,425.5,427.7,418.90000000000003,2005-04-07 12:00:00,427.7,39.162,-289.16199999999884,296452.79999999993,5.0,5814.045999999973,0.01923481214343956,130.0
43,2005-04-08 08:00:00,sell,1.0,424.5,427.7,414.90000000000003,2005-04-11 08:00:00,427.7,6.527,-356.52699999999885,296096.2729999999,3.0,6170.572999999975,0.020414322912543234,133.0
