lossLimit,年收益,最大衰落金额,MAR,期望,最大衰落期,胜率,盈利月占比,盈利单均盈利,亏损单均亏损,月均交易,多单数,多单胜率,空单数,空单胜率,获利因子,平均同时开仓数,25%同时开仓数,50%同时开仓数,75%同时开仓数,最大同时开仓数,平均持仓天数,25%持仓天数,50%持仓天数,75%持仓天数,最大持仓天数,平均衰落金额,25%衰落金额,50%衰落金额,75%衰落金额,最大衰落金额(副本),平均衰落率,25%衰落率,50%衰落率,75%衰落率,最大衰落率,平均衰落期,25%衰落期,50%衰落期,75%衰落期,最大衰落期(副本),平均每单获利,25%每单获利,50%每单获利,75%每单获利,最小每单获利,最大每单获利,,
1,-3090.345421,48089.144,-0.064262849,-16.24977293,2840,0.090978014,0.350993377,1108.405962,-128.809146,15.63104879,1319,0.095526914,1319,0.086429113,-0.861220216,0.09969674,0,0,0,4,0.228582259,0,0,0,14,14388.2159,4202.8995,12040.4845,18880.889,48089.144,0.047158648,0.013850411,0.039448254,0.061859479,0.15755452,1070.484837,302,770,1857,2840,-16.24977293,-130,-130,-130,-195.27,5570.45,-0.004060584,-0.002678549
2,1239.896926,34397.284,0.036046361,6.519673616,1142,0.156937074,0.483443709,1259.591072,-226.7409195,15.63104879,1319,0.174374526,1319,0.139499621,-1.034106406,0.249810462,0,0,0,5,0.476876422,0,0,0,21,11788.18557,2229.803,8334.2655,21401.751,34397.284,0.035456113,0.007120943,0.025225182,0.064219938,0.105969542,347.2699014,61,218,616,1142,6.519673616,-230,-230,-217.91,-321.378,10365.352,-0.009343121,-0.006591826
3,5242.287489,33056.443,0.158585952,27.57064177,1088,0.208112206,0.493333333,1355.18792,-321.3340426,15.62796209,1319,0.228961334,1319,0.187263078,-1.108349395,0.397649735,0,0,1,6,0.680818802,0,0,0,21,7858.843757,1637.91,5237.9255,12742.3335,33056.443,0.022116201,0.004895707,0.014746521,0.034542489,0.096809811,249.9810462,25,132,403,1088,27.57064177,-330,-330,-257.46,-440.959,10365.352,-0.013339578,-0.009720769
4,7996.286224,26745.728,0.298974334,42.05468385,1166,0.247915087,0.552631579,1414.459878,-410.3409798,15.62796209,1319,0.26990144,1319,0.225928734,-1.136270737,0.583017437,0,0,1,6,0.894238059,0,0,1,21,6726.724292,1521.15675,4705.244,11591.195,26745.728,0.017068827,0.004479385,0.011885276,0.029177932,0.06455147,227.833207,13,76,337,1166,42.05468385,-430,-430,-126.5275,-560.54,11124.73,-0.020958113,-0.0153423
5,11982.48957,25338.551,0.472895611,63.01923124,1001,0.277862017,0.582781457,1506.157409,-492.2670073,15.62796209,1319,0.301743745,1319,0.253980288,-1.177276914,0.728961334,0,0,1,7,1.057619409,0,0,1,27,5925.901555,1519.72675,4034.7825,9340.0655,25338.551,0.014197917,0.00403314,0.010064604,0.022567034,0.05385623,158.6292646,11,53,170,1001,63.01923124,-530,-517.91,490,-660.54,11926.72,-0.026068578,-0.019427591
6,10155.1441,25922.849,0.391744908,53.40871531,843,0.293404094,0.556291391,1544.405924,-565.7070783,15.62796209,1319,0.317664898,1319,0.26914329,-1.133613211,0.883623958,0,1,1,7,1.219105383,0,0,1,27,6010.909037,1884.437,4501.0735,9374.848,25922.849,0.015071639,0.0052707,0.011911366,0.023348034,0.059273105,127.1846096,14,52,130,843,53.40871531,-630,-581.64,603.5225,-760.54,11926.72,-0.029338596,-0.02182272
7,12276.10072,21999.367,0.558020634,64.56341357,364,0.312357847,0.609271523,1594.556498,-630.4279322,15.62796209,1319,0.338893101,1319,0.285822593,-1.14893218,0.999620925,0,1,2,7,1.368460955,0,0,2,27,5674.309715,1806.36625,4808.0655,8133.60825,21999.367,0.014093999,0.004814499,0.011921082,0.020417706,0.054806617,84.80629265,12,55,136,364,64.56341357,-730,-582.2635,754.9675,-860.54,11926.72,-0.03911658,-0.02865664
8,14117.86679,26525.508,0.532237376,74.24977142,442,0.326004549,0.629139073,1646.591652,-686.2755478,15.62796209,1319,0.349507202,1319,0.302501895,-1.160523873,1.137225171,0,1,2,7,1.555344958,0,0,2,35,5790.887743,1666.527,4489.0885,8733.239,26525.508,0.013640586,0.004468547,0.011154295,0.020597618,0.056661823,90.95034117,12,50,127,442,74.24977142,-830,-556.7635,809,-986.648,20212.25,-0.037196196,-0.025872287
9,13978.65237,25074.521,0.557484323,73.51760425,582,0.3358605,0.609271523,1672.599664,-735.1506062,15.62796209,1319,0.355572403,1319,0.316148597,-1.150575986,1.244503412,0,1,2,7,1.667551175,0,0,2,35,6479.887111,1765.31575,4939.524,10369.208,25074.521,0.01531012,0.004623402,0.012288984,0.024629947,0.064042222,91.60727824,12,46,118,582,73.51760425,-917.91,-543.392,877.36825,-1110.756,20212.25,-0.044298194,-0.02931863
10,17994.7114,27990.009,0.642897664,94.63917096,534,0.349128127,0.6,1717.359517,-775.7891567,15.62796209,1319,0.368460955,1319,0.329795299,-1.187426812,1.353677028,0,1,2,7,1.822213798,0,0,2,40,6173.588609,1521.1205,4259.006,9513.89175,27990.009,0.0137184,0.003877755,0.010315298,0.021602748,0.059274286,79.02994693,8,31,103.75,534,94.63917096,-993.73,-525.82,981.5,-1180.121,20212.25,-0.042162223,-0.027716645
