lossLimit,年收益,最大衰落金额,MAR,期望,最大衰落期,胜率,盈利月占比,盈利单均盈利,亏损单均亏损,月均交易,多单数,多单胜率,空单数,空单胜率,获利因子,平均同时开仓数,25%同时开仓数,50%同时开仓数,75%同时开仓数,最大同时开仓数,平均持仓天数,25%持仓天数,50%持仓天数,75%持仓天数,最大持仓天数,平均衰落金额,25%衰落金额,50%衰落金额,75%衰落金额,最大衰落金额(副本),平均衰落率,25%衰落率,50%衰落率,75%衰落率,最大衰落率,平均衰落期,25%衰落期,50%衰落期,75%衰落期,最大衰落期(副本),平均每单获利,25%每单获利,50%每单获利,75%每单获利,最小每单获利,最大每单获利,,
1,-2669.760599,37713.275,-0.070791004,-14.03823768,3942,0.110310842,0.370860927,913.299622,-129.017069,15.63104879,1319,0.112206217,1319,0.108415466,-0.877699813,0.056103108,0,0,0,2,0.144048522,0,0,0,14,12741.18213,5060.29475,11742.898,19084.93575,37713.275,0.042374549,0.01682948,0.039054417,0.063472496,0.125426448,1926.267627,948.5,1865,2956,3942,-14.03823768,-130,-130,-130,-169.162,5004.63,-0.004485476,-0.003420999
2,714.8581592,27795.106,0.02571885,3.758894617,1533,0.186504928,0.443708609,1011.091982,-227.1860629,15.63104879,1319,0.20015163,1319,0.172858226,-1.020338716,0.16793025,0,0,0,4,0.313495072,0,0,0,14,10403.26496,2980.7605,10002.6765,17106.62575,27795.106,0.03263672,0.009652874,0.030980491,0.053836618,0.087956793,500.974981,119,444,776.75,1533,3.758894617,-230,-230,-217.91,-275.689,7792.622,-0.009918617,-0.008173599
3,1836.367905,26719.803,0.06872685,9.6579674,1545,0.240333586,0.513333333,1057.899241,-321.971258,15.62796209,1319,0.254738438,1319,0.225928734,-1.039486233,0.282031842,0,0,0,5,0.454510993,0,0,0,14,9402.773966,2595.53725,8458.2695,15061.517,26719.803,0.028403324,0.008306314,0.026242645,0.045028525,0.078103202,459.353298,67,324,765.75,1545,9.6579674,-330,-330,-180,-375.689,7792.622,-0.014060321,-0.012049911
4,4527.525951,31111.611,0.145525282,23.81151289,1546,0.288097043,0.536423841,1099.600001,-411.5448509,15.62796209,1319,0.303260045,1319,0.272934041,-1.081273511,0.420015163,0,0,1,5,0.585291888,0,0,0,14,7526.794804,1733.2545,5609.958,11422.62425,31111.611,0.02076788,0.005531648,0.015894257,0.031490385,0.083258246,336.2934041,25,105.5,542,1546,23.81151289,-430,-430,402.27375,-475.689,8345.838,-0.015289758,-0.013228015
5,7540.294334,23808.889,0.316700806,39.65649621,524,0.322971948,0.586666667,1157.672133,-493.6857895,15.62796209,1319,0.338134951,1319,0.307808946,-1.118647079,0.542835481,0,0,1,5,0.708112206,0,0,1,17,6062.115048,1609.2915,3802.8615,9335.4665,23808.889,0.015969647,0.004776196,0.010904255,0.025133405,0.058040332,131.6182714,19,84,221,524,39.65649621,-530,-510,562.125,-575.689,8949.63,-0.024179583,-0.020735356
6,6801.14353,28474.237,0.238852529,35.76909742,1483,0.343821077,0.606666667,1186.380402,-567.1219792,15.62796209,1319,0.360121304,1319,0.327520849,-1.096118996,0.670204701,0,0,1,6,0.814632297,0,0,1,17,6836.249169,1758.58525,4619.244,10433.9175,28474.237,0.018035998,0.005192385,0.013271564,0.027482013,0.070654447,295.3620167,16,70,466,1483,35.76909742,-630,-545.37,636.54,-727.905,8949.63,-0.025563635,-0.019917021
7,8701.068285,20590.445,0.422577962,45.7613279,836,0.36504928,0.58,1224.139504,-631.7181845,15.62796209,1319,0.383623958,1319,0.346474602,-1.114086753,0.76762699,0,0,1,6,0.916982563,0,0,1,18,5956.926456,1709.66975,5068.2,9096.548,20590.445,0.01568537,0.005015301,0.014128555,0.023185194,0.052133666,166.3783169,16,84,244,836,45.7613279,-730,-517.91,742.5,-827.905,8949.63,-0.040208213,-0.030680162
8,10783.18837,22064.984,0.488701391,56.71177407,518,0.380591357,0.569536424,1267.393257,-687.1830906,15.62796209,1319,0.393479909,1319,0.367702805,-1.13323659,0.879075057,0,1,1,6,1.053070508,0,0,1,28,5499.905189,1647.91,4482.95,7810.45125,22064.984,0.013964197,0.004626897,0.011737586,0.019741289,0.056074828,108.6429113,12,60.5,166.75,518,56.71177407,-819.5,-487.2635,814.125,-927.905,15215.16,-0.042053282,-0.031143602
9,10728.93851,23355.124,0.45938264,56.42645906,519,0.391584534,0.566666667,1287.223733,-735.7315371,15.62796209,1319,0.40181956,1319,0.381349507,-1.126055901,0.96550417,0,1,1.75,6,1.13343442,0,0,1,28,5811.304339,1503.39025,3951.9635,9117.51,23355.124,0.014875053,0.004284905,0.011082511,0.023022152,0.063921303,99.56671721,12,51,136,519,56.42645906,-917.91,-468.91,869.385,-1027.905,15215.16,-0.044011969,-0.031501932
10,13594.41513,26078.967,0.521278896,71.49679416,518,0.405231236,0.606666667,1315.252045,-775.9056042,15.62796209,1319,0.414708112,1319,0.395754359,-1.154927862,1.051554208,0,1,2,7,1.243366187,0,0,2,28,5947.375854,1356.00425,3790.0665,9249.519,26078.967,0.014449041,0.003835973,0.010211478,0.022154698,0.058239396,95.20356331,9,46,131,518,71.49679416,-981.64,-439.7635,913.86825,-1127.905,15215.16,-0.043249604,-0.02975216
11,15644.46574,25112.228,0.622981989,82.27857809,463,0.414329037,0.613333333,1342.625555,-809.3455294,15.62796209,1319,0.424564064,1319,0.404094011,-1.173579772,1.109931766,0,1,2,7,1.326383624,0,0,2,28,5615.155462,1241.82025,3707.5675,8170.56475,25112.228,0.013239422,0.003447686,0.009368251,0.019745762,0.059598045,88.53980288,8,45,135.75,463,82.27857809,-991.14525,-420,944.385,-1227.905,15215.16,-0.048896697,-0.032229141
12,17626.44896,27506.292,0.640815162,92.7023768,502,0.421531463,0.666666667,1367.85904,-836.5074587,15.62796209,1319,0.429871114,1319,0.413191812,-1.191576092,1.161865049,0,1,2,7,1.389689158,0,0,2,28,5278.165293,1230,3298.3495,7215.284,27506.292,0.01192823,0.003252136,0.008038617,0.017681755,0.050906119,74.31652767,8,35,101,502,92.7023768,-974.89525,-406.527,977.7365,-1327.905,15215.16,-0.048276409,-0.030411495
13,19913.25419,29352.094,0.678427038,104.7293188,522,0.427596664,0.66,1394.078388,-858.4400523,15.62796209,1319,0.435178165,1319,0.420015163,-1.213135676,1.19787718,0,1,2,7,1.454510993,0,0,2,29,5559.1103,1293.73,3460.685,7608.68325,29352.094,0.011827147,0.00322128,0.007966782,0.017746109,0.051030374,80.84685368,8,40,113,522,104.7293188,-955.525,-391.527,997.5675,-1447.486,15215.16,-0.049314574,-0.029246297
14,18786.33838,30817.094,0.609607719,98.80255648,563,0.429112964,0.646666667,1400.316137,-879.493176,15.62796209,1319,0.437452616,1319,0.420773313,-1.196782071,1.226307809,0,1,2,7,1.482941622,0,0,2,29,5900.868735,1398.27925,3768.983,7997.43125,30817.094,0.012763584,0.003622636,0.008870448,0.018781339,0.054834511,86.23919636,9,44,122,563,98.80255648,-951.095,-384.437,1004.2725,-1547.486,15215.16,-0.050215183,-0.028539134
15,18510.65945,32085.094,0.576923959,97.35268461,506,0.430629265,0.64,1412.127172,-897.043998,15.62796209,1319,0.439727066,1319,0.421531463,-1.190607088,1.246398787,0,1,2,7,1.517816528,0,0,2,31,5916.355564,1459.78525,3948.273,8017.06575,32085.094,0.013074027,0.003906219,0.009615159,0.018617045,0.057860045,84.38059136,10,48,125,506,97.35268461,-946.527,-380,1011.07075,-1627.905,15215.16,-0.050737112,-0.027958279
16,18361.03878,33172.531,0.553501292,96.5657881,518,0.432145565,0.633333333,1421.07147,-911.402488,15.62796209,1319,0.440485216,1319,0.423805914,-1.186584712,1.274829416,0,1,2,7,1.560272934,0,0,2,32,6198.644045,1516.5845,4172.097,8440.8115,33172.531,0.013783469,0.004009552,0.009947653,0.019492685,0.059897178,83.95299469,10,46,122,518,96.5657881,-944.41325,-376.3175,1015.108,-1734.432,15215.16,-0.052285187,-0.027474614
17,18241.93137,24926.01,0.731843218,95.93936922,399,0.43328279,0.633333333,1429.310341,-923.4874007,15.62796209,1319,0.440485216,1319,0.426080364,-1.183315624,1.298711145,0,1,2,7,1.589461713,0,0,2,32,5525.838745,1470.30075,4136.1315,8545.567,24926.01,0.012937426,0.003913205,0.010049769,0.019485491,0.058070638,79.37566338,10,48,128,399,95.93936922,-938.8715,-373.4305,1022.82775,-1834.432,15215.16,-0.073595092,-0.037049147
18,18787.32815,25553.01,0.735229554,98.80776194,345,0.435178165,0.633333333,1436.635503,-931.9481081,15.62796209,1319,0.442759666,1319,0.427596664,-1.187710192,1.315390447,0,1,2,7,1.618271418,0,0,2,36,5440.657051,1480.84675,4243.6725,8343.59525,25553.01,0.012650004,0.003940701,0.010240523,0.018907189,0.057756013,78.05572403,10,50,128,345,98.80776194,-934.37275,-370,1032.0675,-1934.432,15215.16,-0.075702706,-0.036471168
19,18758.4463,26110.01,0.718438878,98.65586429,344,0.43631539,0.626666667,1440.935132,-940.3242549,15.62796209,1319,0.445034117,1319,0.427596664,-1.186126877,1.328278999,0,1,2,7,1.636087945,0,0,2,36,5578.275149,1452.16325,4284.706,8672.64975,26110.01,0.013037516,0.003919395,0.010578162,0.019574504,0.064998454,75.20545868,10,46,124,344,98.65586429,-932.081,-366.527,1035.35475,-2034.432,15215.16,-0.077917703,-0.036013937
20,17780.71848,26571.01,0.669177366,93.5137229,344,0.43631539,0.613333333,1440.935132,-949.4466281,15.62796209,1319,0.445034117,1319,0.427596664,-1.174730457,1.3328279,0,1,2,7,1.641394996,0,0,2,36,5863.540916,1501.71375,4580.8055,9123.744,26571.01,0.013871793,0.004074408,0.011224766,0.02075843,0.068606421,82.64063685,11,56,138,344,93.5137229,-932.081,-366.527,1035.35475,-2134.432,15215.16,-0.080329351,-0.035732425
21,19029.57621,26871.01,0.708182395,100.0818116,344,0.438210766,0.6,1450.387381,-953.1929784,15.62796209,1319,0.445034117,1319,0.431387415,-1.186896389,1.362016679,0,1,2,7,1.688400303,0,0,2,73,5686.660439,1459.54575,4388.7985,8863.72075,26871.01,0.013375997,0.003965057,0.010858011,0.01978766,0.071948719,79.85367703,11,48,133,344,100.0818116,-924.6825,-363.14,1039.5,-2234.432,15215.16,-0.083154001,-0.035472912
22,20258.7153,27134.01,0.746617079,106.5461945,344,0.439727066,0.602649007,1460.839209,-956.3630724,15.62796209,1319,0.446550417,1319,0.432903715,-1.198845378,1.382865807,0,1,2,7,1.720621683,0,0,2,73,5538.909403,1424.386,4302.6155,8972.119,27134.01,0.012737688,0.003732641,0.01059873,0.019706362,0.057428447,80.08529189,11,47,133,344,106.5461945,-921.14525,-358.2635,1052.86825,-2334.432,15215.16,-0.086033432,-0.035245917
23,20127.79122,24899.578,0.808358729,105.8576285,395,0.440106141,0.602649007,1463.315109,-961.1756385,15.62796209,1319,0.447308567,1319,0.432903715,-1.196704231,1.387035633,0,1,2,7,1.725549659,0,0,2,73,5664.224038,1435.563,4324.322,9128.6345,24899.578,0.013050802,0.003785239,0.010678754,0.020022749,0.059425052,79.10652009,11,46,125,395,105.8576285,-919.88175,-356.3175,1054.3275,-2440.959,15215.16,-0.098032143,-0.038602085
24,19585.07133,24999.578,0.783416077,103.0033143,395,0.440106141,0.602649007,1463.315109,-966.2735944,15.62796209,1319,0.447308567,1319,0.432903715,-1.190390548,1.390447309,0,1,2,7,1.73161486,0,0,2,73,5799.225446,1438.45175,4409.4265,9374.411,24999.578,0.013466673,0.003889207,0.010946487,0.020602397,0.062195015,79.15276725,11,46.5,125,395,103.0033143,-919.88175,-356.3175,1054.3275,-2534.432,15215.16,-0.101378991,-0.038651596
