lossLimit,年收益,最大衰落金额,MAR,期望,最大衰落期,胜率,盈利月占比,盈利单均盈利,亏损单均亏损,月均交易,多单数,多单胜率,空单数,空单胜率,获利因子,平均同时开仓数,25%同时开仓数,50%同时开仓数,75%同时开仓数,最大同时开仓数,平均持仓天数,25%持仓天数,50%持仓天数,75%持仓天数,最大持仓天数,平均衰落金额,25%衰落金额,50%衰落金额,75%衰落金额,最大衰落金额(副本),平均衰落率,25%衰落率,50%衰落率,75%衰落率,最大衰落率,平均衰落期,25%衰落期,50%衰落期,75%衰落期,最大衰落期(副本),平均每单获利,25%每单获利,50%每单获利,75%每单获利,最小每单获利,最大每单获利,,
13,16269.7813,29373.897,0.553885693,85.56728582,506,0.439727066,0.610738255,1291.058388,-860.555636,15.62796209,1319,0.445034117,1319,0.434420015,-1.177471721,1.143669447,0,1,2,7,1.350265353,0,0,2,29,5896.471909,1732.40325,4093.91,8285.60775,29373.897,0.013630194,0.004695454,0.010157509,0.020571813,0.05608235,101.2862017,11,55,165,506,85.56728582,-945.44275,-363.14,954.404,-1447.486,14218.16,-0.049,-0.029296611
14,15097.24049,30838.897,0.489551896,79.40056899,525,0.441243366,0.617449664,1296.754446,-881.9290868,15.62796209,1319,0.447308567,1319,0.435178165,-1.161126605,1.172100076,0,1,2,7,1.378316907,0,0,2,29,6327.930175,1914.777,4530.947,8711.7135,30838.897,0.014906051,0.005313832,0.011187832,0.021932098,0.060486954,106.4715694,13,61,174,525,79.40056899,-938.8715,-358.2635,961.21425,-1547.486,14218.16,-0.05,-0.028597945
15,14740.83774,32106.897,0.459117483,77.52614822,507,0.442759666,0.610738255,1307.530116,-899.7831265,15.62796209,1319,0.449583017,1319,0.435936315,-1.154620765,1.191432904,0,1,2,7,1.412433662,0,0,2,31,6411.255061,2038.7215,4783.405,8569.872,32106.897,0.015425239,0.005739563,0.011891677,0.021704163,0.064024558,101.9366945,15,64,160,507,77.52614822,-934.88175,-350,965.75475,-1627.905,14218.16,-0.051,-0.028024606
16,14798.8597,33194.334,0.445824872,77.83130174,507,0.444655042,0.617449664,1316.81654,-914.202613,15.62796209,1319,0.451099318,1319,0.438210766,-1.153302417,1.213419257,0,1,2,7,1.445413192,0,0,2,31,6619.505183,1970.35425,4940.6995,8919.56975,33194.334,0.016006026,0.005635732,0.012424233,0.022702012,0.065907032,99.6580743,12,61,157,507,77.83130174,-931.5,-346,968.2,-1734.432,14218.16,-0.052,-0.027540923
17,14619.91362,24314.981,0.60127185,76.89017475,381,0.445792267,0.617449664,1324.299189,-926.4976505,15.62796209,1319,0.451099318,1319,0.440485216,-1.149745557,1.237300986,0,1,2,7,1.474222896,0,0,2,31,6038.908026,1900.2625,4944.195,8982.36975,24314.981,0.015222473,0.005315556,0.012691976,0.022924897,0.064121348,91.85670963,12,61,148.75,381,76.89017475,-925,-341.5835,978.823,-1834.432,14218.16,-0.075,-0.038103984
18,15095.7211,24491.891,0.616355883,79.39257809,371,0.447687642,0.617449664,1330.962069,-935.0916829,15.62796209,1319,0.453373768,1319,0.442001516,-1.153723743,1.253980288,0,1,2,7,1.501895375,0,0,2,36,5950.720542,1918.43,5011.3155,9064.148,24491.891,0.014906103,0.00539267,0.012339313,0.022516806,0.063786571,95.84154663,13,63,161,371,79.39257809,-921.14525,-339.2635,984.55725,-1934.432,14218.16,-0.079,-0.038179644
19,15021.51337,24591.891,0.610831976,79.00229909,397,0.448824867,0.604026846,1334.860754,-943.649978,15.62796209,1319,0.455648218,1319,0.442001516,-1.151893497,1.26383624,0,1,2,7,1.518574678,0,0,2,36,6046.824642,1956.13675,5080.7785,9298.61375,24591.891,0.015148276,0.005552947,0.012844878,0.023081883,0.064056351,100.1554208,13,66,168,397,79.00229909,-917.635,-336.7635,986.07075,-2034.432,14218.16,-0.083,-0.038372404
20,14043.78555,24691.891,0.568761038,73.8601577,406,0.448824867,0.597315436,1334.860754,-952.9793927,15.62796209,1319,0.455648218,1319,0.442001516,-1.140616766,1.26838514,0,1,2,7,1.523881729,0,0,2,36,6399.442414,2042.74275,5399.4435,10076.46975,24691.891,0.01622719,0.005740096,0.013820112,0.024945672,0.064995109,102.257392,14,67,170,406,73.8601577,-917.635,-336.7635,986.07075,-2134.432,14218.16,-0.086,-0.038594832
21,15230.92347,22266.521,0.684027984,80.10364481,456,0.450720243,0.597315436,1343.776543,-956.823254,15.62796209,1319,0.455648218,1319,0.445792267,-1.152414737,1.285064443,0,1,2,7,1.547005307,0,0,2,38,6152.346987,1955.801,4914.331,9935.03125,22266.521,0.015507925,0.005401533,0.012488461,0.024416995,0.060589357,101.393859,13,62,162.75,456,80.10364481,-910.75,-330.5,993.7175,-2234.432,14218.16,-0.1,-0.042971385
22,16374.76089,22429.521,0.730053972,86.11940258,396,0.452236543,0.610738255,1353.304699,-960.0757938,15.62796209,1319,0.457164519,1319,0.447308567,-1.163757965,1.305913571,0,1,2,7,1.578847612,0,0,2,38,5911.165714,1853.1475,4603.348,9497.951,22429.521,0.014613404,0.00504149,0.011781455,0.023520935,0.051475035,98.39537528,12,61.5,165.75,396,86.11940258,-906.79425,-329.5,998.4575,-2334.432,14218.16,-0.104,-0.042804115
23,16223.09294,22635.698,0.716703896,85.32173882,381,0.452615618,0.610738255,1355.561194,-965.0009134,15.62796209,1319,0.457922669,1319,0.447308567,-1.161524934,1.310083397,0,1,2,7,1.583775588,0,0,2,38,6023.723154,1881.11725,4923.0325,9553.88225,22635.698,0.014905227,0.005193048,0.012582122,0.023795714,0.053402651,91.78733889,12,57,151.75,381,85.32173882,-904.35275,-329,999.22725,-2440.959,14218.16,-0.108,-0.042631816
24,15680.37304,22923.608,0.684027272,82.46742456,381,0.452615618,0.610738255,1355.561194,-970.215374,15.62796209,1319,0.457922669,1319,0.447308567,-1.155282272,1.313495072,0,1,2,7,1.589840788,0,0,2,38,6162.351079,1912.27475,5020.353,9837.548,22923.608,0.015373622,0.005271487,0.012875817,0.024452181,0.057908187,91.78999242,12,56.5,152,381,82.46742456,-904.35275,-329,999.22725,-2534.432,14218.16,-0.111,-0.042323851
25,16560.83081,23223.608,0.71310327,87.09799583,381,0.453752843,0.617449664,1361.535434,-971.542957,15.62796209,1319,0.458680819,1319,0.448824867,-1.164118283,1.317285823,0,1,2,7,1.59742229,0,0,2,38,6108.720222,1868.796,4948.4355,9742.8555,23223.608,0.014827474,0.005101486,0.012563039,0.023911413,0.05220048,91.20849128,12,55.5,150,381,87.09799583,-900.8425,-325.41,1006.6675,-2634.432,14218.16,-0.113,-0.041834282
26,16178.92066,23337.528,0.693257686,85.08942456,381,0.453752843,0.613333333,1361.535434,-975.2199944,15.62796209,1319,0.458680819,1319,0.448824867,-1.15972901,1.328278999,0,1,2,8,1.611068992,0,0,2,38,6194.670616,1885.16075,4995.996,9959.59875,23337.528,0.015125721,0.005162162,0.012736423,0.024290641,0.054534632,96.79037149,13,61,166.75,381,85.08942456,-900.8425,-325.41,1006.6675,-2740.959,14218.16,-0.117,-0.04178763
27,16432.46289,23516.528,0.698762287,86.42287339,381,0.454131918,0.606666667,1365.1442,-977.4022306,15.62796209,1319,0.458680819,1319,0.449583017,-1.161982342,1.334723275,0,1,2,8,1.619408643,0,0,2,38,6272.758088,1889.6805,5073.8535,10113.938,23516.528,0.01524686,0.00521106,0.012987016,0.024391354,0.056408815,96.91015921,13,61,167,381,86.42287339,-900.48,-324.365,1007.2725,-2840.959,14218.16,-0.121,-0.041562353
28,16101.39153,23616.528,0.681784873,84.68167741,381,0.454131918,0.606666667,1365.1442,-980.5920049,15.62796209,1319,0.458680819,1319,0.449583017,-1.158202522,1.335481425,0,1,2,8,1.619787718,0,0,2,38,6360.951258,1908.684,5158.8135,10254.153,23616.528,0.015524454,0.005269577,0.013223184,0.024749587,0.057731115,96.92191054,13,61,167,381,84.68167741,-900.48,-324.365,1007.2725,-2940.959,14218.16,-0.125,-0.04152143
29,16458.0431,23625.178,0.696631496,86.55740675,396,0.454510993,0.606666667,1369.73343,-982.6073266,15.62796209,1319,0.459438969,1319,0.449583017,-1.161487249,1.344579227,0,1,2,8,1.631539045,0,0,2,44,6057.448983,1839.94325,4710.7455,9441.38375,23625.178,0.014914414,0.005037521,0.012292762,0.023571586,0.058900349,97.13646702,12,59.5,166,396,86.55740675,-899.89525,-322.865,1010.55,-3073.594,14218.16,-0.13,-0.041591531
30,16185.99628,24700.178,0.655298771,85.12663723,488,0.454510993,0.606666667,1369.73343,-985.2302384,15.62796209,1319,0.459438969,1319,0.449583017,-1.1583951,1.345716452,0,1,2,8,1.634571645,0,0,2,44,6202.323335,1849.91425,4774.128,9748.84375,24700.178,0.015296665,0.00507254,0.012525685,0.024423904,0.059926141,105.0849128,12,63,174.75,488,85.12663723,-899.89525,-322.865,1010.55,-3173.594,14218.16,-0.128,-0.039887576
