lossLimit,年收益,最大衰落金额,MAR,期望,最大衰落期,胜率,盈利月占比,盈利单均盈利,亏损单均亏损,月均交易,多单数,多单胜率,空单数,空单胜率,获利因子,平均同时开仓数,25%同时开仓数,50%同时开仓数,75%同时开仓数,最大同时开仓数,平均持仓天数,25%持仓天数,50%持仓天数,75%持仓天数,最大持仓天数,平均衰落金额,25%衰落金额,50%衰落金额,75%衰落金额,最大衰落金额(副本),平均衰落率,25%衰落率,50%衰落率,75%衰落率,最大衰落率,平均衰落期,25%衰落期,50%衰落期,75%衰落期,最大衰落期(副本),平均每单获利,25%每单获利,50%每单获利,75%每单获利,最小每单获利,最大每单获利,,
1,-2088.054772,32523.527,-0.064201363,-10.97948976,2715,0.106520091,0.377483444,978.8718577,-128.9889207,15.63104879,1319,0.109931766,1319,0.103108415,-0.904732458,0.060272934,0,0,0,2,0.154283548,0,0,0,14,9184.571676,3442.9135,7744.0315,13545.172,32523.527,0.030274829,0.011418088,0.025512977,0.044621124,0.107140487,973.924185,227,639,1729.75,2715,-10.97948976,-130,-130,-130,-169.162,5346.72,-0.005201219,-0.003966019
2,1538.157941,26422.716,0.058213468,8.088001137,1077,0.180818802,0.486666667,1073.49856,-227.0812892,15.63104879,1319,0.19711903,1319,0.164518575,-1.043479033,0.179302502,0,0,0,4,0.337755876,0,0,0,14,9253.163609,2117.45575,8928.742,15657.56825,26422.716,0.02805263,0.00674602,0.026956073,0.046811743,0.08144374,312.5466262,55,219,523.75,1077,8.088001137,-230,-230,-217.91,-275.689,8320.222,-0.010433787,-0.008594169
3,2703.178756,24994.852,0.10814942,14.21676573,1091,0.232752085,0.52,1121.679366,-321.7427386,15.62796209,1319,0.249431387,1319,0.216072782,-1.057591228,0.30288097,0,0,0,5,0.491281274,0,0,0,15,8431.987154,2103.0785,6940.6525,14107.76875,24994.852,0.024799573,0.006582346,0.021146791,0.041314167,0.075939238,283.0170584,38,182.5,467.5,1091,14.21676573,-330,-330,-200.41,-382.216,8320.222,-0.015291789,-0.01287236
4,5445.172927,24995.775,0.217843733,28.63767248,1036,0.278241092,0.533333333,1169.473264,-411.1592416,15.62796209,1319,0.294920394,1319,0.261561789,-1.096501821,0.452994693,0,0,1,5,0.643669447,0,0,0,19,6410.417866,1633.66225,4451.3755,10271.36,24995.775,0.01741948,0.004823213,0.012392699,0.028067437,0.06542885,202.3597422,21,79,311,1036,28.63767248,-430,-430,381.2025,-560.54,8900.311,-0.02242539,-0.01644915
5,8438.297909,23702.011,0.356016116,44.37934572,521,0.311220622,0.609271523,1234.139354,-493.2062168,15.62796209,1319,0.327520849,1319,0.294920394,-1.13063881,0.578468537,0,0,1,5,0.772554966,0,0,1,19,6082.019384,1523.3345,3966.557,9527.80625,23702.011,0.015645875,0.004263136,0.011111626,0.024511586,0.055620314,109.8112206,15,62,164,521,44.37934572,-530,-517.91,542.7125,-660.54,9542.63,-0.027868521,-0.020808623
6,7974.818256,25287.881,0.31536127,41.94177786,524,0.33206975,0.569536424,1265.87212,-566.550265,15.62796209,1319,0.350265353,1319,0.313874147,-1.110835089,0.708491281,0,0,1,6,0.885140258,0,0,1,19,6164.692003,1654.459,4497.1455,9452.6205,25287.881,0.016068634,0.004839071,0.012524586,0.024486007,0.061102142,103.4567854,14,56.5,143,524,41.94177786,-630,-556.1735,641.4675,-760.54,9542.63,-0.030075276,-0.022404023
7,10023.33564,23400.363,0.428341032,52.7154981,527,0.352918878,0.582781457,1306.275917,-630.9779701,15.62796209,1319,0.372251706,1319,0.33358605,-1.129111637,0.808946171,0,1,1,6,0.997346475,0,0,1,19,5617.327801,1636.75125,4887.752,7921.5815,23400.363,0.014516414,0.004624695,0.012799451,0.021289967,0.053056301,104.3006065,12,57,163,527,52.7154981,-730,-530,738,-860.54,9542.63,-0.036774643,-0.026964452
8,11732.03088,23380.731,0.501782039,61.70199962,520,0.36732373,0.556291391,1350.554044,-686.5889718,15.62796209,1319,0.382865807,1319,0.351781653,-1.142043338,0.923805914,0,1,1,6,1.141015921,0,0,1,28,5685.461081,1654.3305,4764.004,8412.86725,23380.731,0.014035183,0.004470667,0.011893539,0.020700796,0.053697406,98.50265353,12,54,136.75,520,61.70199962,-830,-507.685,817.50475,-960.54,16212.16,-0.041082548,-0.02936559
9,11384.73641,24214.578,0.47016043,59.8754818,535,0.377558757,0.553333333,1370.915272,-735.371553,15.62796209,1319,0.390447309,1319,0.364670205,-1.13081087,1.010993177,0,1,2,6,1.224412434,0,0,2,28,6592.666111,1595.83175,5115.0335,10167.02675,24214.578,0.016424758,0.004283491,0.013196516,0.025558934,0.061347194,102.8551933,11,51,140.75,535,59.8754818,-917.91,-487.2635,876,-1067.067,16212.16,-0.044067132,-0.03036896
10,14262.59498,28161.781,0.506452166,75.01093707,557,0.390826384,0.629139073,1400.783665,-775.5626055,15.62796209,1319,0.40257771,1319,0.379075057,-1.158769342,1.10272934,0,1,2,7,1.344579227,0,0,2,28,6899.941827,1477.34475,5003.974,10645.78875,28161.781,0.016248204,0.003959706,0.012523947,0.025306572,0.062126308,98.5075815,11,48,125,557,75.01093707,-986.6825,-462.892,941.83575,-1180.121,16212.16,-0.041905056,-0.027539544
