lossLimit,年收益,最大衰落金额,MAR,期望,最大衰落期,胜率,盈利月占比,盈利单均盈利,亏损单均亏损,月均交易,多单数,多单胜率,空单数,空单胜率,获利因子,平均同时开仓数,25%同时开仓数,50%同时开仓数,75%同时开仓数,最大同时开仓数,平均持仓天数,25%持仓天数,50%持仓天数,75%持仓天数,最大持仓天数,平均衰落金额,25%衰落金额,50%衰落金额,75%衰落金额,最大衰落金额(副本),平均衰落率,25%衰落率,50%衰落率,75%衰落率,最大衰落率,平均衰落期,25%衰落期,50%衰落期,75%衰落期,最大衰落期(副本),平均每单获利,25%每单获利,50%每单获利,75%每单获利,最小每单获利,最大每单获利,,
11,20063.52412,26751.101,0.750007416,105.51963,427,0.368460955,0.633333333,1672.965748,-808.9807461,15.62796209,1319,0.384382108,1319,0.352539803,-1.206535575,1.343442002,0,1,2,7,1.784685368,0,0,2,40,5939.87093,1270.55775,4016.498,9199.0215,26751.101,0.012770686,0.003188253,0.009146733,0.020308663,0.060770412,70.80894617,7,31,104,427,105.51963,-1026.777,-491.865,1037.41,-1254.013,19203.16,-0.046877061,-0.030241026
12,20918.01082,26044.038,0.803178479,110.0136122,449,0.374147081,0.66,1695.063737,-837.5602659,15.62796209,1319,0.388931008,1319,0.359363154,-1.209873728,1.402956785,0,1,2,7,1.86580743,0,0,3,40,6025.904867,1260.46875,3871.2725,9305.486,26044.038,0.012715599,0.003214228,0.008834963,0.020842007,0.051626667,77.48521607,7,33,120,449,110.0136122,-1022.608,-483.865,1083.9175,-1367.067,19203.16,-0.052490593,-0.032159386
13,23613.98032,27743.57,0.851151468,124.1924625,644,0.379833207,0.673333333,1732.14107,-860.6269169,15.62796209,1319,0.394238059,1319,0.365428355,-1.232686831,1.443896892,0,1,2,7,1.948066717,0,0,3,40,6088.550446,1298.26675,3707.3885,9471.81175,27743.57,0.01206849,0.003035313,0.007959757,0.020446818,0.053482182,95.96588324,7,31,130,644,124.1924625,-1013.527,-476.1735,1117.2975,-1519.283,19203.16,-0.054761626,-0.03102077
14,22471.96754,29408.57,0.764129896,118.186301,759,0.381349507,0.653333333,1741.179808,-882.2619026,15.62796209,1319,0.396512509,1319,0.366186505,-1.216533079,1.472706596,1,1,2,7,1.981425322,0,0,3,40,6859.884321,1430,4268.9505,10634.71375,29408.57,0.013672715,0.003587946,0.009186512,0.0224744,0.058023242,122.8066717,8,44,166.5,759,118.186301,-1007.91,-470.5,1124.5575,-1619.283,19203.16,-0.055061603,-0.030000163
15,22654.7903,27056.171,0.837324332,119.1478165,381,0.383244882,0.64,1759.319206,-900.0367406,15.62796209,1319,0.39954511,1319,0.366944655,-1.2146412,1.494692949,1,1,2,7,2.023502654,0,1,3,40,6095.74985,1345.90075,3848.4505,9322.4805,27056.171,0.012558914,0.003151477,0.008703162,0.020401031,0.062079884,67.14973465,7,31.5,106,381,119.1478165,-1006.47625,-468.2185,1131.85,-1667.067,19203.16,-0.061615038,-0.033265488
16,23020.8502,29034.978,0.792866115,121.0730269,453,0.385140258,0.633333333,1773.835829,-914.1963977,15.62796209,1319,0.40030326,1319,0.369977255,-1.215393124,1.526914329,1,1,2,7,2.073161486,0,1,3,40,6368.989406,1374.59,3967.4455,9326.621,29034.978,0.013080408,0.003390971,0.008959085,0.02107374,0.065708368,80.05193328,8,40,121,453,121.0730269,-1001.92225,-461.1555,1140.14,-1760.54,19203.16,-0.060635142,-0.031486037
17,23811.13834,30943.872,0.769494469,125.2293711,670,0.386656558,0.633333333,1792.755236,-925.9921261,15.62796209,1319,0.40030326,1319,0.373009856,-1.22049319,1.558756634,1,1,2,7,2.115238817,0,1,3,40,6114.952856,1319.829,3894.313,9052.694,30943.872,0.012868311,0.003128684,0.008651876,0.020140713,0.069019435,99.57846854,9,43,130,670,125.2293711,-1000.21,-458,1147.7095,-1860.54,19203.16,-0.060126283,-0.029924895
18,24171.75697,33715.632,0.716930265,127.1259644,694,0.388172858,0.633333333,1801.775157,-935.3528296,15.62796209,1319,0.40181956,1319,0.374526156,-1.222141682,1.577331312,1,1,2,7,2.148218347,0,1,3,40,6600.086514,1348.59725,3998.739,9489.854,33715.632,0.013703998,0.003212903,0.008638152,0.021917889,0.070812973,97.06899166,8,37,113.75,694,127.1259644,-995.6825,-456.527,1154.37475,-1960.54,19203.16,-0.058149288,-0.027742408
19,24229.14616,34884.239,0.694558541,127.42779,767,0.389310083,0.633333333,1807.858239,-943.8335822,15.62796209,1319,0.404094011,1319,0.374526156,-1.221079247,1.594389689,1,1,2,7,2.177028052,0,1,3,40,6998.929603,1375.2275,4083.946,9752.00325,34884.239,0.014433179,0.003271443,0.008791751,0.022157748,0.073833499,104.9981046,8,38,114,767,127.42779,-992.777,-455,1159.9175,-2086.648,19203.16,-0.059816354,-0.027056161
20,23557.49527,37436.933,0.629258152,123.895392,764,0.389689158,0.633333333,1809.465239,-952.3566596,15.62796209,1319,0.404094011,1319,0.375284306,-1.213159379,1.60121304,1,1,2,7,2.187263078,0,1,3,40,7169.464335,1384.5795,4228.247,10022.40075,37436.933,0.014974143,0.003393218,0.008956898,0.022730607,0.076418027,105.070508,9,38,114,764,123.895392,-992.0585,-454.5,1160.09,-2134.432,19203.16,-0.057014072,-0.02543896
21,25072.64984,39362.033,0.636975479,131.8640095,697,0.391584534,0.64,1823.089649,-956.6319938,15.62796209,1319,0.404094011,1319,0.379075057,-1.226558901,1.633055345,1,1,2,7,2.238817286,0,1,3,73,7087.326676,1309.32775,4008.2175,9855.469,39362.033,0.014643019,0.003148957,0.008656489,0.021922092,0.078779157,97.27634572,8,37,119.75,697,131.8640095,-988.7095,-449.7905,1169.5875,-2234.432,19203.16,-0.056766174,-0.024303419
22,24956.9754,41301.848,0.604258081,131.2556456,770,0.391963609,0.646666667,1828.220761,-962.6732382,15.62796209,1319,0.404852161,1319,0.379075057,-1.22423816,1.661106899,1,1,2,7,2.283548143,0,1,3,73,7557.035046,1375.2275,4349.5045,10305.6455,41301.848,0.01554481,0.003395072,0.009312934,0.02304783,0.080227615,107.5598939,8,39.5,128,770,131.2556456,-987.8085,-449.3405,1171.23,-2438.864,19203.16,-0.059049755,-0.023308236
23,24810.13664,35137.175,0.706093664,130.4833798,699,0.392342684,0.64,1831.755388,-967.9673556,15.62796209,1319,0.405610311,1319,0.379075057,-1.221837905,1.665276725,1,1,2,7,2.288476118,0,1,3,73,6878.594389,1340.262,4225.0475,9846.73325,35137.175,0.014469059,0.003222995,0.008958783,0.02189259,0.083577335,103.2695224,8,40,132.75,699,130.4833798,-986.6825,-447.604,1172.3975,-2538.864,19203.16,-0.07225578,-0.027548241
24,24752.64308,33911.958,0.729908992,130.1810053,456,0.392721759,0.633333333,1834.960405,-972.285573,15.62796209,1319,0.405610311,1319,0.379833207,-1.220478405,1.674374526,1,1,3,7,2.305155421,0,1,3,73,6785.551975,1329.89525,4191.2015,9604.36875,33911.958,0.014407033,0.003210787,0.008955799,0.021410479,0.08791766,77.78961334,8,37,118.75,456,130.1810053,-985.88175,-446.108,1173.2175,-2554.013,19203.16,-0.07531305,-0.028670877
25,24791.84354,35283.874,0.702639499,130.3871713,550,0.393100834,0.633333333,1838.470606,-975.9729294,15.62796209,1319,0.405610311,1319,0.380591357,-1.220130668,1.681956027,1,1,3,7,2.318043973,0,1,3,73,7031.437968,1362.82325,4277.0975,9888.4545,35283.874,0.014854929,0.00325935,0.009159723,0.021957837,0.087681717,87.8100834,8,39,130,550,130.3871713,-985.12275,-446.054,1173.39,-2686.648,19203.16,-0.076143793,-0.027660594
26,24955.46711,37038.794,0.67376565,131.247713,796,0.393479909,0.64,1842.622782,-979.0068631,15.62796209,1319,0.406368461,1319,0.380591357,-1.221034882,1.695602729,1,1,3,8,2.334723275,0,1,3,73,7121.666104,1364.48175,4348.412,10208.00425,37038.794,0.014781039,0.003256566,0.009326838,0.022449892,0.086302954,118.6406368,8,44,146,796,131.247713,-983.696,-445.2905,1173.67725,-2786.648,19203.16,-0.075235927,-0.026431931
27,25322.19055,38684.904,0.654575505,133.1764132,863,0.393858984,0.646666667,1848.292357,-981.2735341,15.62796209,1319,0.406368461,1319,0.381349507,-1.223904878,1.709628506,1,1,3,8,2.351402578,0,1,3,73,7495.979979,1397.60475,4480.5805,10713.53075,38684.904,0.015353078,0.003434708,0.009517343,0.023312321,0.087253638,129.8802123,8,47,157,863,133.1764132,-982.93575,-444.2905,1177.76075,-2886.648,19203.16,-0.074619495,-0.0253658
28,24942.25071,40574.742,0.614723581,131.1782043,874,0.393858984,0.646666667,1848.292357,-984.5701413,15.62796209,1319,0.406368461,1319,0.381349507,-1.219806914,1.710386657,1,1,3,8,2.351781653,0,1,3,73,7936.296712,1447.46325,4614.8005,11306.43025,40574.742,0.016196396,0.003485074,0.010171923,0.024257893,0.087941387,130.8335861,9,47,157,874,131.1782043,-982.93575,-444.2905,1177.76075,-2964.648,19203.16,-0.073066343,-0.024265592
29,25426.96725,42394.742,0.599767001,133.7274629,949,0.394238059,0.646666667,1855.327076,-986.712836,15.62796209,1319,0.407126611,1319,0.381349507,-1.223731865,1.719484458,1,1,3,8,2.365428355,0,1,3,73,8291.502127,1430.823,4736.826,11597.502,42394.742,0.0168508,0.003464408,0.010235606,0.025034317,0.089710511,140.8134951,8,49.5,154,949,133.7274629,-982.43575,-443.527,1179.09,-3073.594,19203.16,-0.072499415,-0.023274415
30,25118.88173,44110.742,0.569450447,132.1071558,956,0.394238059,0.646666667,1855.327076,-989.3876608,15.62796209,1319,0.407126611,1319,0.381349507,-1.220423487,1.720621683,1,1,3,8,2.368460955,0,1,3,73,8730.902787,1451.78025,4887.7285,12292.53225,44110.742,0.017691723,0.003529293,0.010820373,0.025846645,0.091167669,143.6997726,9,50,157,956,132.1071558,-982.43575,-443.527,1179.09,-3173.594,19203.16,-0.071946058,-0.022429631
