lossLimit,年收益,最大衰落金额,MAR,期望,最大衰落期,胜率,盈利月占比,盈利单均盈利,亏损单均亏损,月均交易,多单数,多单胜率,空单数,空单胜率,获利因子,平均同时开仓数,25%同时开仓数,50%同时开仓数,75%同时开仓数,最大同时开仓数,平均持仓天数,25%持仓天数,50%持仓天数,75%持仓天数,最大持仓天数,平均衰落金额,25%衰落金额,50%衰落金额,75%衰落金额,最大衰落金额(副本),平均衰落率,25%衰落率,50%衰落率,75%衰落率,最大衰落率,平均衰落期,25%衰落期,50%衰落期,75%衰落期,最大衰落期(副本),平均每单获利,25%每单获利,50%每单获利,75%每单获利,最小每单获利,最大每单获利,,
1,-2143.231915,40052.709,yy,-11.26962434,2308,0.095905989,0.407894737,1096.698107,-128.8024696,15.63104879,1319,0.099317665,1319,0.092494314,-0.903223111,0.089461713,0,0,0,4,0.210386657,0,0,0,14,12870.00954,3183.12,10817.782,20184.10925,40052.709,0.041544819,0.010432075,0.0348597,0.065042168,0.129067624,732.0962851,141,421.5,1324.75,2308,-11.26962434,-130,-130,-130,-169.162,6336.72,-0.004223485,-0.003215824
2,2252.985389,28994.823,0.077703023,11.84673427,1128,0.16338135,0.490066225,1233.743102,-226.7746226,15.63104879,1319,0.179681577,1319,0.147081122,-1.062441978,0.23009856,0,0,0,5,0.439727066,0,0,0,14,8397.955986,2328.26725,6207.594,12974.119,28994.823,0.025389039,0.007427669,0.018813583,0.038695988,0.089513789,327.5007582,69.25,227.5,545.75,1128,11.84673427,-230,-230,-217.91,-282.216,9903.022,-0.009733324,-0.007821211
3,5693.578419,28008.152,0.203282902,29.94410576,701,0.215314632,0.526666667,1310.044491,-321.3104928,15.62796209,1319,0.233510235,1319,0.19711903,-1.11876566,0.371114481,0,0,1,6,0.63115997,0,0,0,15,6525.872433,1575.66675,4530.199,10220.7895,28008.152,0.018495196,0.004647666,0.012884541,0.028432585,0.082507117,166.3695982,22,102,274.75,701,29.94410576,-330,-330,-245.65925,-382.216,9903.022,-0.013646598,-0.011472035
4,8578.522274,24528.65,0.349734791,45.11682449,403,0.256633813,0.569536424,1364.636285,-410.4235502,15.62796209,1319,0.275966641,1319,0.237300986,-1.14787796,0.540940106,0,0,1,6,0.819939348,0,0,1,20,5602.993401,1284.437,3475.9265,9633.92,24528.65,0.014393652,0.003664725,0.009338683,0.024091356,0.059837335,92.04890068,12,54,142,403,45.11682449,-430,-430,248.37725,-560.54,10563.73,-0.02285246,-0.016732415
5,12525.69628,25561.411,0.490023664,65.87610576,415,0.287338893,0.582781457,1449.903846,-492.1521,15.62796209,1319,0.307050796,1319,0.26762699,-1.187821592,0.683093252,0,0,1,7,0.974222896,0,0,1,26,5230.583703,1352.06675,3554.0585,7689.22675,25561.411,0.012587621,0.003702035,0.009145861,0.018952958,0.054561853,83.20166793,11,48,123,415,65.87610576,-530,-517.91,532.311,-660.54,11321.63,-0.025841296,-0.019253714
6,11630.15278,26746.109,0.434835317,61.16619447,415,0.305534496,0.57615894,1485.374978,-565.4234776,15.62796209,1319,0.326762699,1319,0.284306293,-1.155771121,0.828658074,0,1,1,7,1.117513268,0,0,1,26,5505.74083,1559.491,4029.6205,8336.03775,26746.109,0.013487799,0.004270316,0.010661234,0.020320637,0.059498721,79.25777104,12,47,108,415,61.16619447,-630,-579.581,653.7095,-760.54,11321.63,-0.028435538,-0.021140401
7,13762.39477,19827.978,0.694089673,72.38024564,351,0.324867324,0.629139073,1531.674466,-629.8180399,15.62796209,1319,0.347990902,1319,0.301743745,-1.170222055,0.940106141,0,1,1,7,1.257391964,0,0,1,26,5112.724232,1479.548,4317.4565,7775.72875,19827.978,0.012459674,0.004194041,0.010642266,0.019380964,0.049972585,70.76080364,11,44.5,106,351,72.38024564,-730,-560.74,761.1825,-860.54,11321.63,-0.04340029,-0.031764108
8,14981.7642,24219.638,0.618579196,78.79324716,348,0.337755876,0.633333333,1577.554119,-685.6005346,15.62796209,1319,0.357846854,1319,0.317664898,-1.173540058,1.065579985,0,1,2,7,1.420773313,0,0,2,35,5501.528909,1534.41475,4314.8985,8648.408,24219.638,0.012810778,0.004017717,0.010770352,0.019810573,0.055152459,69.03525398,9.25,36,100.75,348,78.79324716,-830,-540.527,836.435,-960.54,19203.16,-0.039659552,-0.028307629
9,14740.3611,24729.561,0.596062384,77.52364139,488,0.347611827,0.62,1600.967527,-734.2125834,15.62796209,1319,0.363912055,1319,0.3313116,-1.161847599,1.170204701,0,1,2,7,1.530326005,0,0,2,35,6245.538983,1502.47675,4740.425,10067.86525,24729.561,0.014596516,0.003980022,0.011776005,0.023401306,0.062259459,77.21038666,9,37,108,488,77.52364139,-917.91,-528.365,909.85,-1067.067,19203.16,-0.043149452,-0.029689673
10,18252.15793,29633.388,0.615932202,95.99315353,439,0.360500379,0.64,1640.493219,-774.6764149,15.62796209,1319,0.376042456,1319,0.344958302,-1.193766919,1.277862017,0,1,2,7,1.680060652,0,0,2,40,6210.53254,1356.9705,4213.5575,9513.0675,29633.388,0.013757834,0.00349469,0.010115644,0.021322849,0.060076565,69.99734647,7,30,96,439,95.99315353,-993.73,-508.455,983.9925,-1180.121,19203.16,-0.039824032,-0.026142013
